Địa phương,Năm,Số người nhiễm HIV/AIDS - Phát hiện mới năm 2021,Số người nhiễm HIV/AIDS còn sống - Lũy kế đến 31/12,Số người hiện nhiễm HIV/AIDS được phát hiện trên 100.000 dân - Lũy kế đến 31/12,Số người nhiễm HIV/AIDS - Phát hiện mới năm 2022
geoId-AGG,2021,294.0,6677.0,349.7,
geoId-AGG,2022,,8876.0,465.8,498.0
geoId-BR-VT,2021,246.0,3139.0,266.9,
geoId-BR-VT,2022,,3489.0,296.0,148.0
geoId-BDG,2021,743.0,5865.0,225.9,
geoId-BDG,2022,,4526.0,163.8,206.0
geoId-BPC,2021,115.0,2297.0,224.3,
geoId-BPC,2022,,2760.0,266.8,106.0
geoId-BTN,2021,76.0,1088.0,87.3,
geoId-BTN,2022,,1611.0,128.7,98.0
geoId-BDH,2021,108.0,624.0,41.4,
geoId-BDH,2022,,1037.0,68.9,121.0
geoId-BLU,2021,224.0,1528.0,166.4,
geoId-BLU,2022,,2186.0,237.1,242.0
geoId-BGG,2021,99.0,2139.0,114.1,
geoId-BGG,2022,,2318.0,122.6,109.0
geoId-BKN,2021,17.0,915.0,282.7,
geoId-BKN,2022,,938.0,289.2,19.0
geoId-BNH,2021,24.0,990.0,67.7,
geoId-BNH,2022,,1148.0,77.1,41.0
geoId-SCC,2021,1201.0,20960.0,101.8,
geoId-SCC,2022,,24066.0,116.5,1408.0
geoId-BTE,2021,274.0,2389.0,184.4,
geoId-BTE,2022,,3422.0,263.6,310.0
geoId-CBG,2021,33.0,1277.0,235.5,
geoId-CBG,2022,,917.0,168.9,64.0
geoId-CMU,2021,428.0,3176.0,262.8,
geoId-CMU,2022,,4416.0,365.7,526.0
geoId-VNM,2021,13225.0,213833.0,217.1,
geoId-VNM,2022,,222388.0,223.6,11037.0
geoId-CTO,2021,664.0,4467.0,358.2,
geoId-CTO,2022,,4217.0,336.7,470.0
geoId-GLI,2021,13.0,882.0,56.2,
geoId-GLI,2022,,1082.0,68.0,85.0
geoId-HGG,2021,24.0,986.0,111.2,
geoId-HGG,2022,,1192.0,133.5,17.0
geoId-HNM,2021,38.0,781.0,89.2,
geoId-HNM,2022,,927.0,105.6,35.0
geoId-HNI,2021,1078.0,19593.0,235.2,
geoId-HNI,2022,,14470.0,171.5,326.0
geoId-HTH,2021,33.0,807.0,61.4,
geoId-HTH,2022,,884.0,67.1,41.0
geoId-HBH,2021,42.0,1297.0,148.8,
geoId-HBH,2022,,1324.0,151.2,57.0
geoId-HYN,2021,33.0,959.0,74.7,
geoId-HYN,2022,,1171.0,90.7,28.0
geoId-HDG,2021,110.0,3209.0,165.7,
geoId-HDG,2022,,3224.0,165.6,78.0
geoId-HPG,2021,217.0,6663.0,321.5,
geoId-HPG,2022,,6314.0,302.4,161.0
geoId-HGG,2021,44.0,1252.0,171.5,
geoId-HGG,2022,,2098.0,287.6,126.0
geoId-KHA,2021,229.0,1933.0,154.9,
geoId-KHA,2022,,2318.0,184.9,128.0
,2021,0.0,274.0,,
,2022,,,,0.0
geoId-KGG,2021,432.0,3536.0,201.8,
geoId-KGG,2022,,5475.0,312.5,659.0
geoId-KTM,2021,35.0,343.0,60.3,
geoId-KTM,2022,,375.0,64.7,12.0
geoId-LCU,2021,88.0,1470.0,307.3,
geoId-LCU,2022,,1369.0,284.0,80.0
geoId-LAN,2021,487.0,3624.0,210.0,
geoId-LAN,2022,,4371.0,252.0,316.0
geoId-LCI,2021,51.0,1668.0,218.9,
geoId-LCI,2022,,1589.0,206.2,57.0
geoId-LDG,2021,27.0,1075.0,81.3,
geoId-LDG,2022,,1546.0,116.0,22.0
geoId-LSN,2021,18.0,944.0,118.5,
geoId-LSN,2022,,994.0,123.9,38.0
geoId-NDH,2021,64.0,4265.0,232.3,
geoId-NDH,2022,,4129.0,220.0,84.0
geoId-NAN,2021,178.0,6017.0,176.5,
geoId-NAN,2022,,6160.0,180.3,297.0
geoId-NBH,2021,21.0,1733.0,172.0,
geoId-NBH,2022,,1678.0,166.0,46.0
geoId-NTN,2021,21.0,364.0,61.1,
geoId-NTN,2022,,552.0,92.2,40.0
geoId-PTO,2021,85.0,3285.0,217.9,
geoId-PTO,2022,,3224.0,212.5,103.0
geoId-PYN,2021,13.0,344.0,39.3,
geoId-PYN,2022,,574.0,65.5,62.0
geoId-QBH,2021,29.0,319.0,35.0,
