Địa phương,Năm,Số người nhiễm HIV - Phát hiện mới,Số bệnh nhân AIDS - Phát hiện mới,Số người nhiễm HIV còn sống - Lũy kế tính đến 31/12,Số bệnh nhân AIDS còn sống - Lũy kế tính đến 31/12,Số người chết do AIDS
geoId-AGG,2011,267.0,277.0,4450.0,1638.0,103.0
geoId-AGG,2012,303.0,263.0,4867.0,1959.0,114.0
geoId-AGG,2013,236.0,159.0,5046.0,2047.0,84.0
geoId-AGG,2014,297.0,242.0,5240.0,2186.0,103.0
geoId-AGG,2015,344.0,288.0,5746.0,3475.0,85.0
geoId-AGG,2016,330.0,226.0,5840.0,3569.0,85.0
geoId-AGG,2017,312.0,142.0,6121.0,3656.0,73.0
geoId-AGG,2018,303.0,,5613.0,,85.0
geoId-AGG,2019,344.0,,5773.0,,71.0
geoId-AGG,2020,350.0,,6168.0,,96.0
geoId-AGG,2021,294.0,,6677.0,,38.0
geoId-BR-VT,2011,342.0,75.0,4157.0,657.0,76.0
geoId-BR-VT,2012,249.0,56.0,4433.0,693.0,43.0
geoId-BR-VT,2013,212.0,61.0,4618.0,688.0,44.0
geoId-BR-VT,2014,198.0,71.0,4767.0,710.0,49.0
geoId-BR-VT,2015,109.0,56.0,2505.0,1449.0,37.0
geoId-BR-VT,2016,127.0,97.0,2223.0,1450.0,19.0
geoId-BR-VT,2017,174.0,153.0,2360.0,1567.0,25.0
geoId-BR-VT,2018,210.0,,2532.0,,41.0
geoId-BR-VT,2019,221.0,,2729.0,,23.0
geoId-BR-VT,2020,209.0,,2862.0,,43.0
geoId-BR-VT,2021,246.0,,3139.0,,11.0
geoId-BDG,2011,108.0,71.0,2455.0,691.0,18.0
geoId-BDG,2012,69.0,31.0,2718.0,895.0,5.0
geoId-BDG,2013,82.0,57.0,2779.0,824.0,26.0
geoId-BDG,2014,106.0,51.0,2847.0,837.0,38.0
geoId-BDG,2015,45.0,17.0,3017.0,861.0,17.0
geoId-BDG,2016,46.0,212.0,3097.0,1103.0,18.0
geoId-BDG,2017,102.0,6.0,3598.0,1107.0,7.0
geoId-BDG,2018,123.0,,3536.0,,22.0
geoId-BDG,2019,161.0,,2894.0,,26.0
geoId-BDG,2020,864.0,,2640.0,,38.0
geoId-BDG,2021,743.0,,5865.0,,9.0
geoId-BPC,2011,100.0,52.0,1423.0,341.0,13.0
geoId-BPC,2012,126.0,65.0,1591.0,404.0,13.0
geoId-BPC,2013,86.0,56.0,1665.0,449.0,12.0
geoId-BPC,2014,85.0,46.0,1740.0,485.0,10.0
geoId-BPC,2015,88.0,62.0,1590.0,577.0,17.0
geoId-BPC,2016,92.0,41.0,1691.0,633.0,8.0
geoId-BPC,2017,109.0,70.0,1816.0,720.0,6.0
geoId-BPC,2018,66.0,,1887.0,,6.0
geoId-BPC,2019,55.0,,2135.0,,15.0
