Địa phương,Năm,Bác sĩ,Y sĩ,Y tá,Hộ sinh
geoId-AGG,2002,748.0,1104.0,841.0,357.0
geoId-AGG,2003,797.0,1135.0,910.0,349.0
geoId-AGG,2004,789.0,1171.0,909.0,355.0
geoId-AGG,2005,830.0,1196.0,971.0,421.0
geoId-AGG,2006,825.0,1187.0,1006.0,424.0
geoId-AGG,2007,824.0,1237.0,1108.0,503.0
geoId-AGG,2008,842.0,1210.0,1224.0,504.0
geoId-AGG,2009,916.0,1283.0,1328.0,570.0
geoId-AGG,2010,930.0,1246.0,1474.0,632.0
geoId-AGG,2011,907.0,1197.0,1545.0,627.0
geoId-AGG,2012,1043.0,1404.0,1742.0,725.0
geoId-AGG,2013,954.0,1247.0,1674.0,683.0
geoId-AGG,2014,1011.0,1300.0,1682.0,700.0
geoId-AGG,2015,1020.0,1288.0,1873.0,648.0
geoId-AGG,2016,1047.0,1179.0,1694.0,590.0
geoId-AGG,2017,1636.0,1071.0,1564.0,568.0
geoId-BR-VT,2002,476.0,285.0,374.0,165.0
geoId-BR-VT,2003,431.0,274.0,427.0,167.0
geoId-BR-VT,2004,408.0,305.0,414.0,160.0
geoId-BR-VT,2005,386.0,296.0,419.0,164.0
geoId-BR-VT,2006,386.0,296.0,571.0,188.0
geoId-BR-VT,2007,386.0,295.0,544.0,187.0
geoId-BR-VT,2008,387.0,295.0,544.0,187.0
geoId-BR-VT,2009,469.0,354.0,643.0,258.0
geoId-BR-VT,2010,478.0,363.0,644.0,261.0
geoId-BR-VT,2011,478.0,363.0,644.0,261.0
geoId-BR-VT,2012,478.0,363.0,644.0,261.0
geoId-BR-VT,2013,460.0,469.0,759.0,294.0
geoId-BR-VT,2014,462.0,471.0,762.0,294.0
geoId-BR-VT,2015,489.0,496.0,772.0,305.0
geoId-BR-VT,2016,544.0,469.0,752.0,314.0
geoId-BR-VT,2017,468.0,416.0,1017.0,316.0
geoId-BDG,2002,335.0,417.0,256.0,194.0
geoId-BDG,2003,338.0,389.0,286.0,183.0
geoId-BDG,2004,394.0,411.0,352.0,229.0
geoId-BDG,2005,403.0,451.0,378.0,239.0
geoId-BDG,2006,498.0,472.0,373.0,288.0
geoId-BDG,2007,472.0,448.0,431.0,278.0
geoId-BDG,2008,491.0,480.0,428.0,325.0
geoId-BDG,2009,523.0,527.0,515.0,368.0
geoId-BDG,2010,533.0,582.0,557.0,380.0
geoId-BDG,2011,425.0,494.0,600.0,293.0
geoId-BDG,2012,643.0,542.0,928.0,404.0
geoId-BDG,2013,438.0,588.0,706.0,325.0
geoId-BDG,2014,414.0,547.0,623.0,273.0
geoId-BDG,2015,471.0,628.0,726.0,334.0
geoId-BDG,2016,496.0,601.0,709.0,321.0
geoId-BDG,2017,729.0,776.0,830.0,480.0
geoId-BPC,2002,211.0,366.0,241.0,197.0
geoId-BPC,2003,315.0,314.0,316.0,184.0
geoId-BPC,2004,322.0,303.0,304.0,175.0
geoId-BPC,2005,287.0,313.0,352.0,191.0
geoId-BPC,2006,326.0,294.0,327.0,194.0
geoId-BPC,2007,326.0,294.0,328.0,199.0
geoId-BPC,2008,331.0,390.0,376.0,233.0
geoId-BPC,2009,351.0,373.0,241.0,233.0
geoId-BPC,2010,413.0,480.0,509.0,336.0
geoId-BPC,2011,343.0,606.0,676.0,399.0
geoId-BPC,2012,348.0,672.0,769.0,425.0
geoId-BPC,2013,399.0,727.0,777.0,395.0
geoId-BPC,2014,414.0,785.0,796.0,417.0
geoId-BPC,2015,426.0,644.0,773.0,363.0
geoId-BPC,2016,503.0,617.0,709.0,398.0
geoId-BPC,2017,476.0,651.0,726.0,401.0
geoId-BTN,2002,446.0,820.0,361.0,178.0
geoId-BTN,2003,498.0,685.0,480.0,177.0
geoId-BTN,2004,554.0,849.0,438.0,237.0
geoId-BTN,2005,556.0,872.0,449.0,293.0
geoId-BTN,2006,552.0,831.0,533.0,305.0
geoId-BTN,2007,542.0,823.0,591.0,341.0
geoId-BTN,2008,572.0,830.0,646.0,356.0
geoId-BTN,2009,567.0,898.0,757.0,436.0
geoId-BTN,2010,562.0,855.0,840.0,403.0
geoId-BTN,2011,598.0,842.0,881.0,398.0
geoId-BTN,2012,616.0,861.0,1202.0,446.0
geoId-BTN,2013,611.0,887.0,1130.0,413.0
geoId-BTN,2014,619.0,884.0,1116.0,411.0
geoId-BTN,2015,638.0,888.0,1158.0,412.0
geoId-BTN,2016,643.0,826.0,1223.0,396.0
geoId-BTN,2017,655.0,854.0,1236.0,405.0
geoId-BDH,2002,587.0,734.0,780.0,224.0
geoId-BDH,2003,651.0,718.0,783.0,216.0
geoId-BDH,2004,671.0,651.0,824.0,222.0
geoId-BDH,2005,728.0,646.0,930.0,246.0
geoId-BDH,2006,726.0,666.0,916.0,264.0
