Địa phương,Năm,Dược sĩ cao cấp,Dược sĩ trung cấp,Dược tá
geoId-AGG,2002,49.0,254.0,73.0
geoId-AGG,2003,40.0,284.0,84.0
geoId-AGG,2004,54.0,332.0,94.0
geoId-AGG,2005,52.0,369.0,93.0
geoId-AGG,2006,53.0,360.0,92.0
geoId-AGG,2007,61.0,479.0,84.0
geoId-AGG,2008,55.0,427.0,66.0
geoId-AGG,2009,79.0,614.0,106.0
geoId-AGG,2010,88.0,614.0,86.0
geoId-AGG,2011,82.0,621.0,63.0
geoId-AGG,2012,132.0,831.0,72.0
geoId-AGG,2013,101.0,660.0,63.0
geoId-AGG,2014,120.0,692.0,87.0
geoId-AGG,2015,143.0,841.0,81.0
geoId-AGG,2016,164.0,654.0,34.0
geoId-AGG,2017,179.0,608.0,38.0
geoId-BR-VT,2002,42.0,198.0,46.0
geoId-BR-VT,2003,53.0,197.0,59.0
geoId-BR-VT,2004,44.0,188.0,37.0
geoId-BR-VT,2005,44.0,189.0,38.0
geoId-BR-VT,2006,44.0,189.0,38.0
geoId-BR-VT,2007,44.0,193.0,39.0
geoId-BR-VT,2008,44.0,193.0,39.0
geoId-BR-VT,2009,30.0,115.0,39.0
geoId-BR-VT,2010,30.0,118.0,39.0
geoId-BR-VT,2011,30.0,118.0,39.0
geoId-BR-VT,2012,30.0,118.0,39.0
geoId-BR-VT,2013,43.0,179.0,6.0
geoId-BR-VT,2014,45.0,183.0,8.0
geoId-BR-VT,2015,47.0,185.0,8.0
geoId-BR-VT,2016,47.0,186.0,8.0
geoId-BR-VT,2017,63.0,196.0,
geoId-BDG,2002,52.0,181.0,126.0
geoId-BDG,2003,53.0,203.0,187.0
geoId-BDG,2004,52.0,242.0,237.0
geoId-BDG,2005,51.0,233.0,331.0
geoId-BDG,2006,49.0,345.0,355.0
geoId-BDG,2007,51.0,345.0,107.0
geoId-BDG,2008,58.0,366.0,58.0
geoId-BDG,2009,61.0,391.0,60.0
geoId-BDG,2010,72.0,394.0,54.0
geoId-BDG,2011,72.0,319.0,54.0
geoId-BDG,2012,56.0,252.0,32.0
geoId-BDG,2013,53.0,229.0,10.0
geoId-BDG,2014,54.0,188.0,8.0
geoId-BDG,2015,54.0,188.0,8.0
geoId-BDG,2016,67.0,224.0,3.0
geoId-BDG,2017,106.0,369.0,6.0
geoId-BPC,2002,11.0,52.0,29.0
geoId-BPC,2003,10.0,51.0,21.0
geoId-BPC,2004,12.0,54.0,11.0
geoId-BPC,2005,10.0,67.0,12.0
geoId-BPC,2006,11.0,67.0,10.0
geoId-BPC,2007,11.0,67.0,10.0
geoId-BPC,2008,9.0,140.0,11.0
geoId-BPC,2009,22.0,174.0,6.0
geoId-BPC,2010,28.0,174.0,5.0
geoId-BPC,2011,31.0,289.0,3.0
geoId-BPC,2012,30.0,319.0,2.0
geoId-BPC,2013,44.0,312.0,11.0
geoId-BPC,2014,43.0,316.0,1.0
geoId-BPC,2015,84.0,228.0,1.0
geoId-BPC,2016,84.0,298.0,1.0
geoId-BPC,2017,53.0,298.0,1.0
geoId-BTN,2002,32.0,125.0,182.0
geoId-BTN,2003,37.0,127.0,220.0
geoId-BTN,2004,22.0,46.0,60.0
geoId-BTN,2005,20.0,85.0,82.0
geoId-BTN,2006,29.0,117.0,88.0
geoId-BTN,2007,21.0,136.0,80.0
geoId-BTN,2008,21.0,226.0,41.0
geoId-BTN,2009,24.0,267.0,36.0
geoId-BTN,2010,27.0,267.0,33.0
geoId-BTN,2011,33.0,318.0,22.0
geoId-BTN,2012,39.0,531.0,71.0
geoId-BTN,2013,33.0,328.0,29.0
geoId-BTN,2014,43.0,350.0,24.0
geoId-BTN,2015,53.0,340.0,24.0
geoId-BTN,2016,57.0,316.0,15.0
geoId-BTN,2017,66.0,324.0,15.0
geoId-BDH,2002,75.0,189.0,111.0
geoId-BDH,2003,88.0,179.0,118.0
geoId-BDH,2004,86.0,176.0,145.0
geoId-BDH,2005,89.0,214.0,159.0
geoId-BDH,2006,90.0,215.0,174.0
geoId-BDH,2007,89.0,249.0,175.0
geoId-BDH,2008,91.0,268.0,192.0
geoId-BDH,2009,114.0,378.0,198.0
geoId-BDH,2010,120.0,374.0,179.0
geoId-BDH,2011,111.0,471.0,183.0
geoId-BDH,2012,115.0,473.0,186.0
geoId-BDH,2013,46.0,258.0,20.0
geoId-BDH,2014,45.0,258.0,16.0
geoId-BDH,2015,45.0,258.0,16.0
geoId-BDH,2016,74.0,271.0,15.0
geoId-BDH,2017,78.0,270.0,10.0
geoId-BLU,2002,15.0,95.0,59.0
geoId-BLU,2003,17.0,76.0,54.0
geoId-BLU,2004,20.0,106.0,18.0
geoId-BLU,2005,13.0,92.0,13.0
geoId-BLU,2006,14.0,94.0,16.0
geoId-BLU,2007,20.0,209.0,5.0
geoId-BLU,2008,14.0,194.0,5.0
geoId-BLU,2009,21.0,191.0,3.0
geoId-BLU,2010,31.0,191.0,7.0
geoId-BLU,2011,52.0,317.0,4.0
geoId-BLU,2012,62.0,335.0,19.0
geoId-BLU,2013,70.0,324.0,3.0
geoId-BLU,2014,86.0,326.0,7.0
geoId-BLU,2015,71.0,270.0,2.0
geoId-BLU,2016,80.0,306.0,2.0
geoId-BLU,2017,94.0,325.0,2.0
geoId-BGG,2002,58.0,81.0,137.0
geoId-BGG,2003,62.0,81.0,133.0
geoId-BGG,2004,58.0,84.0,134.0
