dia phuong,Năm,Tổng số,Bộ Y tế quản lý,Sở Y tế quản lý,Các ngành khác quản lý
geoId-VNM,2005,49651.0,427.0,47847.0,1377.0
geoId-VNM,2006,48846.0,390.0,47129.0,1327.0
geoId-VNM,2007,48839.0,318.0,47168.0,1353.0
geoId-VNM,2008,49798.0,298.0,48191.0,1309.0
geoId-VNM,2009,51830.0,302.0,50203.0,1325.0
geoId-VNM,2010,52250.0,228.0,50588.0,1434.0
geoId-VNM,2012,58727.0,225.0,56886.0,1616.0
geoId-VNM,2014,58264.0,225.0,56423.0,1616.0
geoId-VNM,2015,58385.0,225.0,56544.0,1616.0
geoId-VNM,2016,57152.0,225.0,55311.0,1616.0
geoId-VNM,2017,53558.0,225.0,51717.0,1616.0
