Địa phương,Năm,Số thư viện (Đơn vị),Số sách trong thư viện (Nghìn bản)
geoId-AGG,2004,12.0,613.9
geoId-AGG,2005,12.0,632.0
geoId-AGG,2006,12.0,571.3
geoId-AGG,2007,12.0,548.0
geoId-AGG,2008,13.0,423.9
geoId-AGG,2009,13.0,466.4
geoId-AGG,2010,13.0,466.0
geoId-AGG,2012,12.0,181.0
geoId-AGG,2013,12.0,619.0
geoId-AGG,2014,12.0,334.0
geoId-AGG,2015,11.0,523.4
geoId-AGG,2016,12.0,554.0
geoId-AGG,2017,12.0,562.9
geoId-BR-VT,2004,9.0,410.0
geoId-BR-VT,2005,9.0,490.0
geoId-BR-VT,2006,9.0,490.0
geoId-BR-VT,2007,9.0,591.0
geoId-BR-VT,2008,9.0,615.0
geoId-BR-VT,2009,9.0,630.0
geoId-BR-VT,2010,9.0,671.0
geoId-BR-VT,2012,80.0,561.0
geoId-BR-VT,2013,80.0,458.0
geoId-BR-VT,2014,9.0,514.0
geoId-BR-VT,2015,9.0,615.7
geoId-BR-VT,2016,9.0,636.5
geoId-BR-VT,2017,9.0,716.8
geoId-BDG,2004,8.0,182.2
geoId-BDG,2005,8.0,212.0
geoId-BDG,2006,8.0,236.3
geoId-BDG,2007,8.0,236.3
geoId-BDG,2008,8.0,305.0
geoId-BDG,2009,8.0,285.2
geoId-BDG,2010,8.0,423.0
geoId-BDG,2012,26.0,345.0
geoId-BDG,2013,29.0,547.0
geoId-BDG,2014,10.0,
geoId-BDG,2015,10.0,735.4
geoId-BDG,2016,10.0,758.4
geoId-BDG,2017,10.0,790.0
geoId-BPC,2004,5.0,46.0
geoId-BPC,2005,6.0,160.0
geoId-BPC,2006,7.0,157.8
geoId-BPC,2007,8.0,160.0
geoId-BPC,2008,8.0,177.4
geoId-BPC,2009,8.0,181.8
geoId-BPC,2010,9.0,182.0
geoId-BPC,2012,9.0,78.0
geoId-BPC,2013,10.0,108.0
geoId-BPC,2014,10.0,
geoId-BPC,2015,10.0,151.7
geoId-BPC,2016,10.0,170.5
geoId-BPC,2017,10.0,189.1
geoId-BTN,2004,10.0,148.2
geoId-BTN,2005,10.0,173.3
geoId-BTN,2006,10.0,189.4
geoId-BTN,2007,10.0,216.3
geoId-BTN,2008,11.0,230.5
geoId-BTN,2009,11.0,222.5
geoId-BTN,2010,11.0,238.0
geoId-BTN,2012,11.0,324.0
geoId-BTN,2013,16.0,271.0
geoId-BTN,2014,11.0,
geoId-BTN,2015,11.0,403.1
geoId-BTN,2016,11.0,380.1
geoId-BTN,2017,11.0,437.5
geoId-BDH,2004,11.0,274.9
geoId-BDH,2005,11.0,296.8
geoId-BDH,2006,11.0,313.5
geoId-BDH,2007,11.0,317.6
geoId-BDH,2008,11.0,353.7
geoId-BDH,2009,11.0,353.0
geoId-BDH,2010,11.0,381.0
geoId-BDH,2012,71.0,411.0
geoId-BDH,2013,67.0,206.0
geoId-BDH,2014,11.0,
geoId-BDH,2015,11.0,684.4
geoId-BDH,2016,11.0,462.0
geoId-BDH,2017,11.0,463.7
geoId-BLU,2004,6.0,80.0
geoId-BLU,2005,6.0,84.0
geoId-BLU,2006,5.0,149.0
geoId-BLU,2007,5.0,159.0
geoId-BLU,2008,6.0,102.0
geoId-BLU,2009,7.0,113.7
geoId-BLU,2010,6.0,130.0
geoId-BLU,2012,44.0,392.0
geoId-BLU,2013,40.0,222.0
geoId-BLU,2014,7.0,231.0
geoId-BLU,2015,7.0,265.4
geoId-BLU,2016,7.0,293.6
geoId-BLU,2017,7.0,317.6
geoId-BGG,2004,11.0,260.0
geoId-BGG,2005,11.0,236.0
geoId-BGG,2006,12.0,160.0
geoId-BGG,2007,12.0,250.0
geoId-BGG,2008,12.0,270.0
geoId-BGG,2009,12.0,285.6
geoId-BGG,2010,12.0,386.0
geoId-BGG,2012,63.0,
geoId-BGG,2013,65.0,255.0
geoId-BGG,2014,11.0,
geoId-BGG,2015,11.0,268.3
geoId-BGG,2016,11.0,273.8
geoId-BGG,2017,11.0,323.0
geoId-BKN,2004,7.0,52.6
geoId-BKN,2005,7.0,53.0
geoId-BKN,2006,7.0,50.1
geoId-BKN,2007,7.0,55.6
geoId-BKN,2008,8.0,58.5
