Địa phương,2005,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-AGG,3,3,3,3,4,4,4,4,5,5,4,3,4,4,3
geoId-BR-VT,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
geoId-BDG,4,4,4,4,4,4,4,4,4,4,3,3,4,4,5
geoId-BPC,3,3,3,3,3,3,3,3,3,3,4,3,2,2,2
geoId-BTN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
geoId-BDH,7,7,7,7,7,7,7,7,7,8,5,5,3,3,3
geoId-BLU,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2
geoId-BGG,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
geoId-BKN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
geoId-BNH,2,2,2,2,2,2,2,2,5,5,2,2,5,5,4
geoId-SCC,61,61,61,61,61,61,61,62,71,75,62,58,62,62,58
geoId-BTE,1,1,1,1,2,2,2,2,3,3,2,2,3,3,2
geoId-CBG,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
geoId-CMU,3,3,3,3,3,3,3,3,2,2,3,3,2,2,2
geoId-CTO,6,6,6,6,7,7,7,9,8,9,3,3,8,8,6
geoId-GLI,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
geoId-HGG,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
geoId-HNM,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
geoId-HNI,469,469,469,471,528,549,549,552,570,586,651,649,530,545,565
geoId-HTH,3,3,3,3,3,3,3,3,4,4,5,5,3,3,3
geoId-HBH,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
geoId-HYN,2,2,2,2,3,3,3,3,3,3,2,2,4,4,3
geoId-HDG,4,4,4,4,4,4,4,4,6,6,5,4,4,4,5
geoId-HPG,7,7,7,7,8,8,8,8,9,10,6,6,6,6,5
geoId-HGG,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
geoId-KHA,5,5,5,5,5,5,5,5,7,8,5,5,6,6,6
geoId-KGG,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
geoId-KTM,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
geoId-LCU,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
geoId-LAN,2,2,2,2,2,2,2,2,3,3,2,2,3,3,3
geoId-LCI,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
geoId-LDG,3,3,3,3,3,3,3,3,4,4,3,3,5,5,6
geoId-LSN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
geoId-NDH,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
geoId-NAN,7,7,7,7,7,7,7,7,7,8,6,6,4,4,4
geoId-NTN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
geoId-NBH,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
geoId-PTO,3,3,3,3,3,3,3,4,4,4,2,2,4,4,3
geoId-PYN,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3
geoId-QNM,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3
geoId-QNI,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4
geoId-QBH,4,4,4,4,4,4,4,4,6,6,7,6,3,3,3
geoId-QNH,2,2,2,2,2,2,2,2,1,1,2,1,1,2,3
geoId-QTI,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
geoId-STG,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
geoId-SLA,2,2,2,2,2,2,2,3,3,3,2,2,3,3,3
geoId-THA,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4
geoId-TNN,4,4,4,4,4,4,4,4,4,4,2,2,5,5,6
geoId-TBH,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3
,6,6,6,6,6,6,6,7,11,11,4,4,13,13,10
geoId-TGG,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
geoId-HCM,66,66,66,66,98,103,103,106,93,95,38,33,70,71,45
geoId-NT,30,30,30,30,30,30,30,33,34,34,29,29,36,36,36
geoId-TVH,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3
geoId-TQG,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
geoId-TNN,14,14,14,14,14,14,14,14,16,16,13,13,14,14,16
geoId-TNH,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,715,715,715,717,812,838,838,851,878,902,868,850,797,816,808
geoId-VLG,2,2,2,2,2,2,2,2,3,3,2,2,3,4,5
geoId-VPC,2,2,2,2,3,3,3,3,3,3,2,2,3,3,3
geoId-YBI,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
geoId-DBN,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
geoId-DNG,9,9,9,9,9,9,9,9,9,10,7,4,11,11,9
geoId-ST,81,81,81,81,113,118,118,122,110,112,53,46,85,86,62
geoId-DLK,4,4,4,4,4,4,4,4,5,5,3,3,3,3,4
geoId-DNG1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
geoId-MRD,32,32,32,32,35,35,35,37,41,42,31,29,38,39,38
geoId-RRD,497,497,497,499,559,580,580,583,606,623,680,675,562,579,598
geoId-DNI,4,4,4,4,4,4,4,5,6,6,4,3,5,5,5
geoId-DTP,2,2,2,2,2,2,2,2,3,3,2,2,3,3,3
