Địa phương,Năm,Cân nặng theo tuổi,Chiều cao theo tuổi,Cân nặng theo chiều cao
geoId-AGG,2021,11.2,20.8,5.2
geoId-AGG,2022,11.2,20.8,5.2
geoId-BR-VT,2021,5.7,16.2,4.4
geoId-BR-VT,2022,5.7,16.2,4.4
geoId-BDG,2021,7.0,18.3,3.2
geoId-BDG,2022,7.0,18.3,3.2
geoId-BPC,2021,12.8,23.8,7.8
geoId-BPC,2022,12.8,23.8,7.8
geoId-BTN,2021,13.1,23.9,5.8
geoId-BTN,2022,13.1,23.9,5.8
geoId-BDH,2021,12.0,21.2,4.3
geoId-BDH,2022,12.0,21.2,4.3
geoId-BLU,2021,11.8,21.5,6.8
geoId-BLU,2022,11.8,21.5,6.8
geoId-BGG,2021,11.3,20.8,6.6
geoId-BGG,2022,11.3,20.8,6.6
geoId-BKN,2021,16.1,26.3,7.5
geoId-BKN,2022,16.1,26.3,7.5
geoId-BNH,2021,9.3,20.2,5.6
geoId-BNH,2022,9.3,20.2,5.6
geoId-SCC,2021,12.6,22.4,6.1
geoId-SCC,2022,12.6,22.4,6.1
geoId-BTE,2021,9.7,20.2,4.8
geoId-BTE,2022,9.7,20.2,4.8
geoId-CBG,2021,16.3,28.0,6.4
geoId-CBG,2022,16.3,28.0,6.4
geoId-CMU,2021,11.3,21.0,7.0
geoId-CMU,2022,11.3,21.0,7.0
geoId-VNM,2021,11.2,19.2,3.6
geoId-VNM,2022,11.2,19.2,3.6
geoId-CTO,2021,8.6,17.8,3.6
geoId-CTO,2022,8.6,17.8,3.6
geoId-GLI,2021,19.4,29.3,7.5
geoId-GLI,2022,19.4,29.3,7.5
geoId-HGG,2021,18.3,29.5,7.7
geoId-HGG,2022,18.3,29.5,7.7
geoId-HNM,2021,10.9,19.9,5.5
geoId-HNM,2022,10.9,19.9,5.5
geoId-HNI,2021,4.6,12.2,3.2
geoId-HNI,2022,4.6,12.2,3.2
geoId-HTH,2021,15.0,24.4,6.3
geoId-HTH,2022,15.0,24.4,6.3
geoId-HBH,2021,15.1,22.7,7.4
geoId-HBH,2022,15.1,22.7,7.4
geoId-HYN,2021,10.3,20.3,5.4
geoId-HYN,2022,10.3,20.3,5.4
geoId-HDG,2021,9.9,18.0,5.7
geoId-HDG,2022,9.9,18.0,5.7
geoId-HPG,2021,6.5,16.9,3.8
geoId-HPG,2022,6.5,16.9,3.8
geoId-HGG,2021,11.4,22.0,7.0
geoId-HGG,2022,11.4,22.0,7.0
geoId-KHA,2021,9.7,19.0,5.8
geoId-KHA,2022,9.7,19.0,5.8
geoId-KGG,2021,12.0,19.9,5.0
geoId-KGG,2022,12.0,19.9,5.0
geoId-KTM,2021,19.7,30.2,6.7
geoId-KTM,2022,19.7,30.2,6.7
geoId-LCU,2021,17.8,28.5,6.2
geoId-LCU,2022,17.8,28.5,6.2
geoId-LAN,2021,7.4,17.3,3.6
geoId-LAN,2022,7.4,17.3,3.6
geoId-LCI,2021,16.4,28.2,5.4
geoId-LCI,2022,16.4,28.2,5.4
