Địa phương,2010,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2021
geoId-AGG,64.0,93.3,97.2,93.8,97.7,90.6,93.1,86.2,95.7,71.8,81.5
geoId-BR-VT,97.9,96.2,92.6,97.9,96.5,91.0,97.3,89.6,97.9,76.2,92.4
geoId-BDG,96.1,93.0,98.3,90.8,99.5,96.8,96.1,92.3,95.5,54.0,96.8
geoId-BPC,94.6,91.2,93.7,93.2,99.0,88.5,88.9,78.0,93.2,80.2,63.0
geoId-BTN,97.9,92.3,95.3,98.4,97.6,97.3,96.7,97.1,97.6,87.3,96.4
geoId-BDH,97.8,97.4,99.6,99.2,99.6,99.1,99.5,99.0,99.2,97.9,94.3
geoId-BLU,97.4,88.9,95.1,96.1,97.0,96.8,96.0,90.9,97.1,68.6,69.8
geoId-BGG,96.6,100.0,99.6,98.6,99.5,97.8,98.7,97.1,98.4,96.2,96.7
geoId-BKN,94.2,89.9,97.2,98.7,98.4,97.7,96.0,97.6,96.8,98.1,89.9
geoId-BNH,98.3,98.0,99.8,99.0,99.1,98.8,98.5,98.4,98.7,98.3,98.2
geoId-SCC,97.3,90.9,97.0,98.6,98.5,97.4,97.3,95.5,97.1,94.7,92.1
geoId-BTE,86.8,88.8,95.5,96.1,97.1,95.7,95.1,96.7,95.6,92.3,86.8
geoId-CBG,97.2,87.4,95.5,97.3,94.6,90.2,89.6,85.7,92.3,94.5,91.9
geoId-CMU,90.1,86.1,98.4,99.1,98.9,96.9,94.8,93.0,96.6,76.7,49.3
geoId-VNM,94.6,91.4,97.1,97.2,98.0,96.4,94.8,94.3,96.8,87.1,87.6
geoId-CTO,98.3,96.8,99.1,99.1,98.7,96.8,96.7,97.9,98.4,72.8,80.6
geoId-GLI,89.0,84.2,93.6,94.2,96.5,97.0,92.8,93.2,95.3,79.6,69.5
geoId-HBH,96.0,93.1,97.3,97.0,97.6,97.2,96.7,97.2,97.8,97.3,86.5
geoId-HGG,88.3,76.7,92.7,96.4,96.2,95.0,94.1,78.4,95.6,96.6,82.9
geoId-HNM,99.9,96.1,99.5,99.3,99.3,99.2,99.0,99.1,95.4,95.0,91.1
geoId-HNI,99.2,94.9,95.0,99.2,99.8,98.6,85.5,93.9,96.4,95.9,97.9
geoId-HTH,97.9,97.6,98.3,98.7,99.0,98.5,95.5,88.9,96.5,87.9,90.5
geoId-HYN,97.9,73.5,97.8,98.2,97.1,95.8,97.4,96.5,96.4,96.8,84.1
geoId-HDG,99.2,96.2,99.1,99.4,99.0,98.7,86.8,98.4,91.1,95.7,91.8
geoId-HPG,99.5,98.3,97.9,98.4,97.1,97.0,96.7,95.3,97.7,96.0,89.7
geoId-HGG,98.4,99.8,97.3,98.8,98.4,98.1,98.5,97.3,99.2,97.7,66.0
geoId-KHA,96.2,93.9,97.4,98.4,98.4,98.1,97.5,97.0,97.5,97.3,95.3
geoId-KGG,93.6,93.7,97.6,96.2,99.1,95.0,86.4,94.7,96.0,75.6,61.0
geoId-KTM,93.4,83.1,95.9,96.6,97.2,97.6,93.0,97.6,97.6,97.3,96.5
geoId-LCU,94.0,92.4,93.3,97.0,93.6,93.8,91.8,94.2,94.2,94.3,87.8
geoId-LAN,96.5,93.6,97.4,97.3,99.0,97.1,93.2,95.3,96.6,88.7,85.9
geoId-LCI,94.8,87.6,96.6,97.8,98.0,98.3,96.5,96.7,97.5,96.9,90.0
geoId-LDG,96.0,73.4,98.7,95.9,97.7,97.7,96.3,97.4,98.2,97.1,75.6
geoId-LSN,98.6,73.2,98.4,96.1,97.8,93.2,97.6,94.8,96.0,96.1,96.6
geoId-NDH,98.8,97.3,97.0,97.6,98.2,95.0,95.4,95.6,97.3,92.2,94.4
geoId-NAN,95.7,87.6,94.3,98.5,97.0,97.3,99.1,91.6,97.4,95.4,95.8
geoId-NBH,99.2,96.6,97.4,98.6,98.8,96.3,97.8,97.5,97.1,96.8,92.8
geoId-NTN,97.7,95.0,97.1,98.1,98.2,97.4,97.3,97.5,98.8,96.5,92.5
geoId-PTO,98.5,93.0,99.5,99.6,99.6,99.5,98.9,99.6,99.6,99.5,91.5
geoId-PYN,97.6,94.0,98.1,98.9,98.1,97.8,97.3,97.0,97.6,90.2,97.9
geoId-QBH,95.8,87.2,86.3,99.8,100.0,93.7,94.0,97.4,96.4,92.1,95.6
geoId-QNM,98.2,98.2,98.0,98.8,97.5,95.0,93.3,93.1,95.1,92.7,85.7
geoId-QNI,99.5,89.9,98.9,99.4,99.1,98.9,99.1,96.3,97.2,95.0,92.8
geoId-QNH,93.3,85.1,95.6,97.1,98.1,97.8,97.0,94.1,96.2,95.3,95.8
geoId-QTI,97.9,89.2,95.9,98.1,98.4,98.4,98.1,98.2,98.7,98.7,98.3
geoId-STG,92.5,85.9,98.4,98.9,98.1,97.6,92.8,90.9,95.7,72.2,65.0
geoId-SLA,92.2,90.7,96.2,97.6,96.2,96.6,94.4,93.4,99.6,97.7,88.1
geoId-THA,96.6,86.5,99.1,97.6,99.5,95.8,96.3,89.3,96.0,94.7,82.9
geoId-TBH,99.6,97.7,99.0,99.3,99.7,99.3,98.1,97.8,98.4,97.2,95.1
geoId-TNN,87.7,93.6,97.1,97.8,98.2,97.1,97.4,96.6,97.5,97.3,94.2
geoId-TTH,97.5,92.1,98.6,98.2,98.8,97.6,99.5,99.0,98.3,97.3,92.6
geoId-TGG,99.4,88.5,98.3,98.3,99.4,96.6,98.7,98.7,99.3,83.1,74.8
geoId-HCM,90.8,91.2,98.3,91.9,94.7,98.3,95.6,95.3,96.7,66.7,89.3
