"Tỉnh, thành phố",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
geoId-AGG,1279.0,1808.0,1671.0,1197.0,1364.0,1424.0,1356.0,1709.0,1628.0,1445.0,1399.0,1082.0
geoId-BR-VT,276.0,347.0,1031.0,938.0,1077.0,1039.0,1253.0,781.0,601.0,833.0,842.0,565.0
geoId-BDG,437.0,614.0,616.0,719.0,1212.0,1525.0,1582.0,1391.0,1193.0,990.0,863.0,743.0
geoId-BPC,1210.0,1165.0,1526.0,1819.0,1583.0,1768.0,1784.0,899.0,974.0,972.0,882.0,929.0
geoId-BTN,313.0,352.0,531.0,644.0,810.0,636.0,803.0,1073.0,1057.0,1068.0,992.0,1003.0
geoId-BDH,1321.0,1377.0,1562.0,1563.0,1712.0,1799.0,1922.0,1587.0,1414.0,1441.0,1466.0,1352.0
geoId-BLU,822.0,818.0,705.0,687.0,679.0,381.0,635.0,767.0,952.0,1168.0,1274.0,1443.0
geoId-BGG,1974.0,1772.0,2038.0,2467.0,2558.0,3277.0,3467.0,3361.0,3425.0,3513.0,3588.0,3151.0
geoId-BKN,347.0,300.0,163.0,182.0,234.0,290.0,341.0,346.0,383.0,425.0,362.0,322.0
geoId-BNH,1586.0,1986.0,1747.0,1937.0,1990.0,2333.0,2147.0,2388.0,2587.0,2292.0,2163.0,2336.0
geoId-SCC,15995.0,15897.0,16545.0,17137.0,18359.0,18986.0,19478.0,20888.0,21534.0,22756.0,22503.0,22737.0
geoId-BTE,450.0,480.0,495.0,502.0,525.0,709.0,654.0,712.0,799.0,975.0,1079.0,1062.0
geoId-CBG,662.0,617.0,644.0,614.0,683.0,725.0,600.0,505.0,571.0,517.0,467.0,525.0
geoId-CMU,822.0,1274.0,1047.0,1080.0,1479.0,1646.0,1897.0,1655.0,1681.0,1699.0,1694.0,1631.0
geoId-CTO,1488.0,1110.0,1402.0,972.0,1071.0,1431.0,1240.0,1042.0,999.0,1107.0,1016.0,608.0
geoId-GLI,858.0,1327.0,1305.0,1434.0,1589.0,1440.0,1485.0,1216.0,898.0,996.0,1034.0,1140.0
geoId-HBH,384.0,308.0,769.0,856.0,674.0,748.0,777.0,848.0,803.0,882.0,909.0,910.0
geoId-HGG,381.0,647.0,471.0,529.0,534.0,548.0,614.0,543.0,624.0,650.0,688.0,789.0
geoId-HNM,350.0,509.0,779.0,611.0,889.0,909.0,752.0,950.0,1082.0,1234.0,1344.0,1416.0
geoId-HNI,6052.0,6453.0,6621.0,6014.0,5857.0,5736.0,7186.0,7742.0,8309.0,8749.0,7719.0,7649.0
geoId-HTH,1018.0,1170.0,1282.0,1388.0,1269.0,1156.0,1299.0,1666.0,1690.0,1696.0,1585.0,1700.0
geoId-HYN,1375.0,1344.0,1185.0,1318.0,1532.0,1708.0,1905.0,1713.0,1958.0,1978.0,2055.0,2245.0
geoId-HDG,728.0,662.0,879.0,1288.0,1436.0,1764.0,2759.0,3166.0,2632.0,2948.0,2914.0,2837.0
geoId-HPG,1025.0,1565.0,1372.0,1425.0,1428.0,1323.0,1651.0,1902.0,2251.0,2368.0,2317.0,2496.0
geoId-HGG,888.0,672.0,860.0,978.0,987.0,960.0,1053.0,868.0,907.0,959.0,840.0,902.0
geoId-KHA,1013.0,824.0,507.0,629.0,969.0,1051.0,656.0,733.0,827.0,799.0,868.0,958.0
geoId-KGG,1537.0,1736.0,2113.0,2086.0,2358.0,2613.0,2797.0,2109.0,1824.0,1537.0,1479.0,1512.0
geoId-KTM,294.0,367.0,378.0,428.0,499.0,536.0,522.0,595.0,661.0,722.0,761.0,784.0
geoId-LCU,225.0,216.0,289.0,257.0,309.0,389.0,372.0,453.0,489.0,520.0,544.0,469.0
geoId-LAN,2074.0,3029.0,2579.0,2819.0,2211.0,2244.0,2129.0,1616.0,1295.0,1333.0,1472.0,1478.0
geoId-LCI,248.0,322.0,405.0,483.0,598.0,678.0,879.0,974.0,1038.0,1080.0,934.0,974.0
geoId-LDG,980.0,1081.0,1215.0,1299.0,1521.0,1582.0,1729.0,1546.0,1669.0,1859.0,2004.0,2040.0
geoId-LSN,887.0,779.0,1116.0,1055.0,998.0,1109.0,993.0,1200.0,975.0,964.0,998.0,1114.0
geoId-NDH,1428.0,1277.0,1562.0,1432.0,1458.0,1700.0,1837.0,1857.0,2181.0,2490.0,2492.0,2279.0
geoId-NAN,3064.0,2902.0,3696.0,3320.0,3818.0,3356.0,3608.0,4496.0,4375.0,4737.0,5111.0,5348.0
geoId-NBH,1225.0,906.0,1245.0,1413.0,1000.0,1127.0,1311.0,1133.0,1342.0,1487.0,1552.0,1688.0
geoId-NTN,555.0,545.0,641.0,508.0,536.0,552.0,603.0,657.0,672.0,622.0,631.0,564.0
geoId-PTO,753.0,842.0,858.0,983.0,1132.0,1370.0,1109.0,1639.0,2059.0,2335.0,2457.0,2637.0
geoId-PYN,948.0,1059.0,971.0,798.0,831.0,847.0,973.0,565.0,758.0,1035.0,834.0,712.0
geoId-QBH,754.0,807.0,929.0,821.0,863.0,1135.0,1130.0,1086.0,1220.0,1312.0,1353.0,1484.0
geoId-QNM,349.0,375.0,267.0,278.0,300.0,264.0,96.0,366.0,402.0,431.0,446.0,462.0
geoId-QNI,1367.0,967.0,865.0,779.0,952.0,1142.0,1331.0,1219.0,1371.0,1499.0,1076.0,1154.0
geoId-QNH,1381.0,1143.0,1415.0,1485.0,1457.0,1332.0,1415.0,1568.0,1691.0,1589.0,1524.0,1303.0
geoId-QTI,827.0,957.0,809.0,699.0,725.0,821.0,773.0,762.0,664.0,716.0,578.0,566.0
geoId-STG,1417.0,1969.0,1691.0,1471.0,1912.0,1426.0,1708.0,1398.0,1143.0,1175.0,1039.0,1102.0
geoId-SLA,372.0,428.0,329.0,989.0,1069.0,1012.0,1012.0,1054.0,1216.0,1265.0,1313.0,1343.0
geoId-THA,2829.0,2819.0,2854.0,4118.0,4243.0,4768.0,4873.0,5329.0,5724.0,6093.0,6347.0,6183.0
geoId-TBH,1355.0,1840.0,1995.0,2028.0,2115.0,1127.0,1795.0,2459.0,2580.0,2882.0,2885.0,2971.0
geoId-TNN,2296.0,1811.0,1145.0,1424.0,1495.0,1658.0,1663.0,1442.0,1680.0,1995.0,1984.0,1627.0
geoId-TTH,980.0,906.0,839.0,856.0,580.0,649.0,720.0,781.0,676.0,650.0,628.0,668.0
geoId-TGG,1436.0,1149.0,1221.0,1126.0,1337.0,1145.0,1280.0,1465.0,1546.0,1694.0,1448.0,1184.0
geoId-HCM,2102.0,1819.0,2011.0,2002.0,1906.0,2586.0,2983.0,2635.0,2591.0,2070.0,1803.0,319.0
geoId-NT,10940.0,10406.0,10738.0,12198.0,12475.0,14132.0,14006.0,14633.0,15473.0,16340.0,16456.0,16281.0
geoId-TVH,1319.0,1118.0,1133.0,901.0,957.0,1245.0,1379.0,1313.0,1491.0,1396.0,1170.0,1043.0
