"Tỉnh, thành phố",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
geoId-AGG,1958.0,1856.0,1776.0,1285.0,1477.0,1615.0,1541.0,1818.0,1717.0,1446.0,1493.0,1146.0
geoId-BR-VT,322.0,545.0,1282.0,1046.0,1122.0,1102.0,1374.0,833.0,637.0,852.0,984.0,685.0
geoId-BDG,651.0,769.0,690.0,862.0,1383.0,1857.0,1720.0,1397.0,1356.0,1308.0,1149.0,1073.0
geoId-BPC,1221.0,1186.0,1535.0,1823.0,1592.0,1774.0,1793.0,918.0,990.0,976.0,957.0,957.0
geoId-BTN,341.0,636.0,584.0,715.0,848.0,648.0,807.0,1090.0,1089.0,1071.0,1078.0,1026.0
geoId-BDH,1449.0,1386.0,1575.0,1575.0,1734.0,1803.0,1928.0,1590.0,1421.0,1450.0,1477.0,1378.0
geoId-BLU,1202.0,896.0,840.0,798.0,730.0,455.0,769.0,951.0,1037.0,1244.0,1343.0,1492.0
geoId-BGG,2003.0,1791.0,2043.0,2471.0,2598.0,3323.0,3490.0,3367.0,3460.0,3565.0,3631.0,3155.0
geoId-BKN,350.0,300.0,164.0,182.0,234.0,377.0,341.0,346.0,385.0,426.0,364.0,322.0
geoId-BNH,2614.0,1990.0,1794.0,1960.0,1993.0,2343.0,2194.0,2407.0,2701.0,2293.0,2255.0,2355.0
geoId-SCC,13399.0,16665.0,17382.0,17717.0,19023.0,19237.0,19958.0,21381.0,21849.0,23287.0,23175.0,23285.0
geoId-BTE,291.0,623.0,595.0,590.0,617.0,784.0,721.0,790.0,906.0,975.0,1131.0,1113.0
geoId-CBG,680.0,622.0,647.0,619.0,701.0,729.0,603.0,507.0,576.0,517.0,469.0,530.0
geoId-CMU,961.0,1293.0,1061.0,1166.0,1535.0,1683.0,1936.0,1680.0,1738.0,1723.0,1800.0,1674.0
geoId-CTO,2267.0,1646.0,1693.0,1342.0,1431.0,1550.0,1730.0,1240.0,1218.0,1312.0,1298.0,713.0
geoId-GLI,696.0,1338.0,1336.0,1464.0,1653.0,1475.0,1503.0,1223.0,903.0,1016.0,1066.0,1169.0
geoId-HBH,1302.0,316.0,780.0,858.0,675.0,748.0,780.0,848.0,805.0,882.0,910.0,910.0
