dia phuong,Năm,Tổng số,Kinh tế Nhà nước,Kinh tế ngoài nhà nước,Khu vực có vốn đầu tư nước ngoài
geoId-VNM,2010,100.0,34.86,44.61,20.53
geoId-VNM,2011,100.0,33.41,47.04,19.56
geoId-VNM,2012,100.0,36.06,46.78,17.15
geoId-VNM,2013,100.0,35.54,47.17,17.29
geoId-VNM,2014,100.0,33.94,49.05,17.01
geoId-VNM,2015,100.0,31.68,50.21,18.11
geoId-VNM,2016,100.0,30.47,51.31,18.22
geoId-VNM,2017,100.0,28.19,53.69,18.12
geoId-VNM,2018,100.0,25.97,56.1,17.93
geoId-VNM,2019,100.0,24.08,58.34,17.58
geoId-VNM,2020,100.0,26.21,57.26,16.53
geoId-VNM,2021,100.0,24.83,59.36,15.81
geoId-VNM,Sơ bộ 2022,100.0,25.61,58.18,16.21
