dia phuong,Năm,Tổng số,Vốn đầu tư công,Vốn của các doanh nghiệp Nhà nước và nguồn vốn khác
geoId-VNM,2010,364286.0,205609.0,158677.0
geoId-VNM,2011,387576.0,222977.0,164599.0
geoId-VNM,2012,459504.0,267222.0,192282.0
geoId-VNM,2013,493724.0,263252.0,230472.0
geoId-VNM,2014,529468.0,270204.0,259264.0
geoId-VNM,2015,556380.0,290178.0,266202.0
geoId-VNM,2016,587110.0,309033.0,278077.0
geoId-VNM,2017,616459.0,316496.0,299963.0
geoId-VNM,2018,630142.0,364399.0,265743.0
geoId-VNM,2019,643094.0,380913.0,262181.0
geoId-VNM,2020,736609.0,503417.0,233192.0
geoId-VNM,2021,719293.0,450372.0,268921.0
geoId-VNM,Sơ bộ 2022,824657.0,519696.0,304961.0
