"Tỉnh, thành phố",năm,Số dự án,Tổng vốn đăng ký (*) (Triệu đô la Mỹ)
geoId-AGG,2021,2.0,34.64
geoId-BR-VT,2021,17.0,954.74
geoId-BDG,2021,69.0,3181.3
geoId-BPC,2021,33.0,239.2
geoId-BTN,2021,2.0,24.79
geoId-BDH,2021,2.0,34.21
geoId-BLU,2021,1.0,-54.96
geoId-BGG,2021,37.0,1233.3
geoId-BNH,2021,153.0,2305.33
geoId-SCC,2021,105.0,2011.57
geoId-BTE,2021,1.0,2.86
geoId-CMU,2021,0.0,0.14
geoId-VNM,2021,2169.0,29288.21
geoId-CTO,2021,6.0,184.02
geoId-GLI,2021,0.0,0.11
geoId-HNM,2021,20.0,552.92
geoId-HNI,2021,375.0,1779.55
geoId-HTH,2021,1.0,276.13
geoId-HBH,2021,0.0,2.29
geoId-HYN,2021,20.0,749.52
geoId-HDG,2021,19.0,374.68
geoId-HPG,2021,93.0,2082.4
geoId-HGG,2021,1.0,0.29
geoId-KHA,2021,1.0,9.12
geoId-KGG,2021,1.0,4.67
geoId-KTM,2021,0.0,0.57
geoId-LAN,2021,63.0,878.21
geoId-LDG,2021,1.0,-4.08
geoId-LSN,2021,0.0,1.72
geoId-NDH,2021,8.0,141.37
geoId-NAN,2021,22.0,961.94
geoId-NBH,2021,5.0,67.37
geoId-NTN,2021,1.0,87.56
geoId-PTO,2021,8.0,718.37
geoId-PYN,2021,0.0,1.83
geoId-QNM,2021,5.0,81.82
geoId-QNI,2021,5.0,94.12
geoId-QNH,2021,9.0,2368.18
geoId-QTI,2021,0.0,0.97
geoId-STG,2021,2.0,116.38
geoId-THA,2021,10.0,107.21
geoId-TBH,2021,11.0,615.16
geoId-TNN,2021,5.0,1582.62
geoId-TTH,2021,7.0,197.57
geoId-TGG,2021,9.0,238.03
geoId-HCM,2021,986.0,4469.25
geoId-NT,2021,,
geoId-TVH,2021,1.0,3.03
geoId-TQG,2021,0.0,0.86
geoId-TNN,2021,4.0,13.55
geoId-TNH,2021,18.0,702.1
geoId-VLG,2021,4.0,155.95
geoId-VPC,2021,28.0,244.52
geoId-YBI,2021,3.0,10.34
geoId-DNG,2021,49.0,134.3
geoId-ST,2021,1175.0,10869.32
geoId-DLK,2021,3.0,16.33
geoId-DNG1,2021,0.0,0.62
geoId-MRD,2021,91.0,1563.26
geoId-RRD,2021,741.0,11281.0
geoId-DNI,2021,52.0,1322.72
