"Tỉnh, thành phố",năm,Số dự án,Tổng vốn đăng ký (*)(Triệu đô la Mỹ)
geoId-AGG,2021,31.0,317.31
geoId-BR-VT,2021,533.0,33304.09
geoId-BDG,2021,4073.0,39629.78
geoId-BPC,2021,413.0,3991.01
geoId-BTN,2021,158.0,3838.76
geoId-BDH,2021,99.0,1205.64
geoId-BLU,2021,15.0,4496.04
geoId-BGG,2021,595.0,9408.0
geoId-BKN,2021,4.0,7.9
geoId-BNH,2021,1820.0,23317.34
geoId-SCC,2021,2266.0,65149.16
geoId-BTE,2021,65.0,1585.02
geoId-CBG,2021,14.0,21.63
geoId-CMU,2021,10.0,153.52
geoId-VNM,2021,36345.0,440535.09
geoId-CTO,2021,85.0,2266.46
,2021,50.0,2768.69
geoId-GLI,2021,8.0,92.09
geoId-HBH,2021,51.0,720.14
geoId-HGG,2021,6.0,4.15
geoId-HNM,2021,375.0,5345.06
geoId-HNI,2021,7005.0,38848.76
geoId-HTH,2021,80.0,12014.24
geoId-HYN,2021,531.0,6649.38
geoId-HDG,2021,507.0,9169.48
geoId-HPG,2021,982.0,25302.38
geoId-HGG,2021,30.0,686.09
geoId-KHA,2021,119.0,4395.09
geoId-KGG,2021,63.0,4810.15
geoId-KTM,2021,9.0,245.36
geoId-LCU,2021,1.0,1.5
geoId-LAN,2021,1293.0,12918.57
geoId-LCI,2021,32.0,582.63
geoId-LDG,2021,101.0,514.3
geoId-LSN,2021,42.0,240.36
geoId-NDH,2021,127.0,3719.81
geoId-NAN,2021,129.0,2572.56
geoId-NBH,2021,94.0,1602.84
geoId-NTN,2021,56.0,1735.14
geoId-PTO,2021,217.0,3133.72
geoId-PYN,2021,51.0,2034.81
geoId-QBH,2021,24.0,1116.28
geoId-QNM,2021,224.0,6340.59
geoId-QNI,2021,64.0,2134.8
geoId-QNH,2021,159.0,10172.66
geoId-QTI,2021,25.0,2524.21
geoId-STG,2021,16.0,340.61
geoId-SLA,2021,10.0,135.73
geoId-THA,2021,177.0,14851.61
geoId-TBH,2021,115.0,1971.63
geoId-TNN,2021,197.0,10483.93
geoId-TTH,2021,131.0,4239.1
geoId-TGG,2021,138.0,2799.66
geoId-HCM,2021,11351.0,56247.94
geoId-NT,2021,1223.0,25408.37
geoId-TVH,2021,38.0,3188.03
geoId-TQG,2021,18.0,208.82
geoId-TNN,2021,166.0,1811.24
geoId-TNH,2021,356.0,9173.65
geoId-VLG,2021,71.0,1010.16
geoId-VPC,2021,502.0,6742.2
geoId-YBI,2021,35.0,456.85
geoId-DBN,2021,1.0,3.0
geoId-DNG,2021,929.0,6146.32
geoId-ST,2021,18547.0,177752.89
geoId-DLK,2021,28.0,647.62
geoId-DNG1,2021,20.0,311.87
geoId-MRD,2021,1876.0,34803.2
geoId-RRD,2021,12217.0,132841.54
geoId-DNI,2021,1821.0,35406.41
geoId-DTP,2021,21.0,231.58
