dia phuong,Năm,Số dự án,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),Tổng số vốn thực hiện (Triệu đô la Mỹ)
geoId-VNM,1988-1990,211.0,1603.5,
geoId-VNM,1991,152.0,1284.4,428.46
geoId-VNM,1992,196.0,2077.6,574.85
geoId-VNM,1993,274.0,2829.8,1117.54
geoId-VNM,1994,372.0,4262.1,2240.58
geoId-VNM,1995,415.0,7925.2,2792.03
geoId-VNM,1996,372.0,9635.3,2938.2
geoId-VNM,1997,349.0,5955.6,3277.1
geoId-VNM,1998,285.0,4873.4,2372.4
geoId-VNM,1999,327.0,2282.5,2528.3
geoId-VNM,2000,391.0,2762.8,2398.7
geoId-VNM,2001,555.0,3265.7,2225.6
geoId-VNM,2002,808.0,2993.4,2884.7
geoId-VNM,2003,791.0,3172.7,2723.3
geoId-VNM,2004,811.0,4534.3,2708.4
geoId-VNM,2005,970.0,6840.0,3300.5
geoId-VNM,2006,987.0,12004.5,4100.4
geoId-VNM,2007,1544.0,21348.8,8034.1
geoId-VNM,2008,1171.0,71726.8,11500.2
geoId-VNM,2009,1208.0,23107.5,10000.5
geoId-VNM,2010,1237.0,19886.8,11000.3
geoId-VNM,2011,1186.0,15598.1,11000.1
geoId-VNM,2012,1287.0,16348.0,10046.6
geoId-VNM,2013,1530.0,22352.23,11500.0
geoId-VNM,2014,1843.0,21921.65,12500.0
geoId-VNM,2015,2120.0,24115.0,14500.0
geoId-VNM,2016,2613.0,26890.46,15800.0
geoId-VNM,2017,2741.0,37100.6,17500.0
geoId-VNM,2018,3147.0,36368.55,19100.0
geoId-VNM,2019,4028.0,38951.69,20380.0
geoId-VNM,2020,2610.0,31045.33,19980.0
geoId-VNM,2021,1818.0,38854.3,19740.0
geoId-VNM,2022,2169.0,29288.21,22396.0
geoId-VNM,Tổng số,38349.0,523918.6,251192.9
