dia phuong,Năm,Số dự án,Tổng vốn đăng ký (Triệu đô la Mỹ) (*)
geoId-VNM,Tổng số,1848.0,23563.7
geoId-VNM,1989,1.0,0.6
geoId-VNM,1990,1.0,
geoId-VNM,1991,3.0,4.0
geoId-VNM,1992,3.0,5.3
geoId-VNM,1993,4.0,0.5
geoId-VNM,1994,3.0,1.3
geoId-VNM,1998,2.0,1.9
geoId-VNM,1999,9.0,5.6
geoId-VNM,2000,15.0,4.7
geoId-VNM,2001,13.0,4.4
geoId-VNM,2002,15.0,147.9
geoId-VNM,2003,24.0,28.1
geoId-VNM,2004,15.0,9.5
geoId-VNM,2005,36.0,367.5
geoId-VNM,2006,36.0,221.0
geoId-VNM,2007,80.0,977.9
geoId-VNM,2008,104.0,3147.5
geoId-VNM,2009,91.0,2597.6
geoId-VNM,2010,108.0,3503.0
geoId-VNM,2011,82.0,2531.0
geoId-VNM,2012,84.0,1546.7
geoId-VNM,2013,93.0,3107.1
geoId-VNM,2014,109.0,1786.8
geoId-VNM,2015,118.0,774.8
geoId-VNM,2016,139.0,970.69
geoId-VNM,2017,130.0,350.08
geoId-VNM,2018,155.0,477.6
geoId-VNM,2019,172.0,528.8
geoId-VNM,2020,134.0,819.7
geoId-VNM,2021,69.0,-357.9
geoId-VNM,2022,117.0,599.28
