Phân theo địa phương,Năm,Tổng diện tích,Đất sản xuất nông nghiệp,Đất lâm nghiệp,Đất chuyên dùng,Đất ở
geoId-AGG,31/12/2018,100.0,79.9,3.3,6.9,3.8
geoId-AGG,31/12/2020,100.0,78.93,3.28,7.12,3.96
geoId-AGG,31/12/2021,100.0,78.93,3.28,7.12,3.96
geoId-BR-VT,31/12/2018,100.0,53.0,17.1,16.8,3.7
geoId-BR-VT,31/12/2020,100.0,52.0,16.23,18.84,3.92
geoId-BR-VT,31/12/2021,100.0,52.0,16.23,18.84,3.92
geoId-BDG,31/12/2018,100.0,71.9,4.0,14.0,5.2
geoId-BDG,31/12/2020,100.0,71.05,3.98,16.14,5.52
geoId-BDG,31/12/2021,100.0,71.05,3.98,16.14,5.52
geoId-BPC,31/12/2018,100.0,64.8,25.1,6.7,1.0
geoId-BPC,31/12/2020,100.0,64.34,24.86,7.3,1.02
geoId-BPC,31/12/2021,100.0,64.34,24.86,7.3,1.02
geoId-BTN,31/12/2018,100.0,45.4,43.3,6.4,1.1
geoId-BTN,31/12/2020,100.0,44.93,42.94,7.31,1.3
geoId-BTN,31/12/2021,100.0,44.93,42.94,7.31,1.3
geoId-BDH,31/12/2018,100.0,22.5,61.0,5.9,1.6
geoId-BDH,31/12/2020,100.0,23.34,62.07,6.14,1.71
geoId-BDH,31/12/2021,100.0,23.34,62.07,6.14,1.71
geoId-BLU,31/12/2018,100.0,38.1,1.3,4.5,1.9
geoId-BLU,31/12/2020,100.0,37.82,1.42,6.52,1.91
geoId-BLU,31/12/2021,100.0,37.82,1.42,6.52,1.91
geoId-BGG,31/12/2018,100.0,37.9,37.4,12.4,4.8
geoId-BGG,31/12/2020,100.0,37.64,37.42,13.28,5.05
geoId-BGG,31/12/2021,100.0,37.64,37.42,13.28,5.05
geoId-BKN,31/12/2018,100.0,9.1,85.0,2.4,0.5
geoId-BKN,31/12/2020,100.0,9.14,85.09,2.56,0.55
geoId-BKN,31/12/2021,100.0,9.14,85.09,2.56,0.55
geoId-BNH,31/12/2018,100.0,51.7,0.7,21.5,13.0
geoId-BNH,31/12/2020,100.0,49.82,0.68,23.34,13.11
geoId-BNH,31/12/2021,100.0,49.82,0.68,23.34,13.11
geoId-SCC,31/12/2018,100.0,22.9,60.1,5.9,2.0
geoId-SCC,31/12/2020,100.0,22.71,62.38,6.25,2.07
geoId-SCC,31/12/2021,100.0,22.71,62.38,6.25,2.07
geoId-BTE,31/12/2018,100.0,58.6,2.9,4.6,3.4
geoId-BTE,31/12/2020,100.0,56.96,3.01,4.84,3.8
geoId-BTE,31/12/2021,100.0,56.96,3.01,4.84,3.8
geoId-CBG,31/12/2018,100.0,16.3,76.0,2.5,0.8
geoId-CBG,31/12/2020,100.0,16.41,76.46,2.79,0.83
geoId-CBG,31/12/2021,100.0,16.41,76.46,2.79,0.83
geoId-CMU,31/12/2018,100.0,27.4,18.2,4.5,1.2
geoId-CMU,31/12/2020,100.0,26.41,27.24,3.6,1.28
geoId-CMU,31/12/2021,100.0,26.41,27.24,3.6,1.28
geoId-VNM,31/12/2018,100.0,34.7,45.1,5.7,2.2
geoId-VNM,31/12/2020,100.0,35.37,46.49,6.07,2.28
geoId-VNM,31/12/2021,100.0,35.37,46.49,6.07,2.28
geoId-CTO,31/12/2018,100.0,78.0,,8.3,5.8
geoId-CTO,31/12/2020,100.0,77.35,0.0,8.45,6.0
geoId-CTO,31/12/2021,100.0,77.35,0.0,8.45,6.0
geoId-GLI,31/12/2018,100.0,51.6,37.8,3.4,1.2
geoId-GLI,31/12/2020,100.0,54.49,35.6,3.98,1.1
geoId-GLI,31/12/2021,100.0,54.49,35.6,3.98,1.1
geoId-HBH,31/12/2018,100.0,19.3,64.5,6.8,3.0
geoId-HBH,31/12/2020,100.0,20.17,64.67,7.26,3.11
geoId-HBH,31/12/2021,100.0,20.17,64.67,7.26,3.11
geoId-HGG,31/12/2018,100.0,24.5,57.9,2.1,0.9
geoId-HGG,31/12/2020,100.0,25.39,59.4,2.84,0.98
geoId-HGG,31/12/2021,100.0,25.39,59.4,2.84,0.98
geoId-HNM,31/12/2018,100.0,48.4,6.0,22.6,7.4
geoId-HNM,31/12/2020,100.0,47.05,5.76,24.39,7.7
geoId-HNM,31/12/2021,100.0,47.05,5.76,24.39,7.7
geoId-HNI,31/12/2018,100.0,45.9,6.6,19.1,12.2
geoId-HNI,31/12/2020,100.0,46.42,6.05,20.2,11.83
geoId-HNI,31/12/2021,100.0,46.42,6.05,20.2,11.83
geoId-HTH,31/12/2018,100.0,25.2,54.2,7.1,2.1
geoId-HTH,31/12/2020,100.0,23.15,58.76,7.01,2.21
geoId-HTH,31/12/2021,100.0,23.15,58.76,7.01,2.21
geoId-HYN,31/12/2018,100.0,57.6,,19.0,10.4
geoId-HYN,31/12/2020,100.0,55.13,0.0,20.19,10.7
geoId-HYN,31/12/2021,100.0,55.13,0.0,20.19,10.7
geoId-HDG,31/12/2018,100.0,51.4,5.6,18.9,10.1
geoId-HDG,31/12/2020,100.0,50.19,5.42,19.61,10.34
geoId-HDG,31/12/2021,100.0,50.19,5.42,19.61,10.34
geoId-HPG,31/12/2018,100.0,32.3,12.3,18.8,9.3
geoId-HPG,31/12/2020,100.0,31.95,12.02,21.7,10.06
geoId-HPG,31/12/2021,100.0,31.95,12.02,21.7,10.06
geoId-HGG,31/12/2018,100.0,83.7,2.7,7.0,2.8
geoId-HGG,31/12/2020,100.0,83.84,2.05,7.78,2.78
geoId-HGG,31/12/2021,100.0,83.84,2.05,7.78,2.78
geoId-KHA,31/12/2018,100.0,19.5,44.1,7.1,1.3
geoId-KHA,31/12/2020,100.0,19.05,53.29,7.57,1.47
geoId-KHA,31/12/2021,100.0,19.05,53.29,7.57,1.47
,31/12/2018,100.0,3.9,83.6,0.4,
,31/12/2020,100.0,,100.0,,
,31/12/2021,100.0,,100.0,,
geoId-KGG,31/12/2018,100.0,72.9,11.2,4.7,2.2
geoId-KGG,31/12/2020,100.0,71.82,11.29,5.22,2.25
geoId-KGG,31/12/2021,100.0,71.82,11.29,5.22,2.25
geoId-KTM,31/12/2018,100.0,27.5,62.8,3.5,0.9
geoId-KTM,31/12/2020,100.0,30.88,62.2,3.87,0.9
geoId-KTM,31/12/2021,100.0,30.88,62.2,3.87,0.9
geoId-LCU,31/12/2018,100.0,12.3,45.7,1.7,0.3
geoId-LCU,31/12/2020,100.0,12.78,57.1,0.97,0.43
geoId-LCU,31/12/2021,100.0,12.78,57.1,0.97,0.43
geoId-LAN,31/12/2018,100.0,70.6,6.5,8.8,6.0
geoId-LAN,31/12/2020,100.0,69.26,5.43,8.25,6.72
geoId-LAN,31/12/2021,100.0,69.26,5.43,8.25,6.72
geoId-LCI,31/12/2018,100.0,21.0,56.0,3.1,0.8
geoId-LCI,31/12/2020,100.0,21.6,60.36,3.38,0.95
geoId-LCI,31/12/2021,100.0,21.6,60.36,3.38,0.95
geoId-LDG,31/12/2018,100.0,37.6,55.2,2.9,1.3
geoId-LDG,31/12/2020,100.0,37.78,54.97,3.32,1.19
geoId-LDG,31/12/2021,100.0,37.78,54.97,3.32,1.19
geoId-LSN,31/12/2018,100.0,13.3,69.1,3.6,1.0
geoId-LSN,31/12/2020,100.0,13.81,72.57,3.57,1.11
geoId-LSN,31/12/2021,100.0,13.81,72.57,3.57,1.11
geoId-NDH,31/12/2018,100.0,54.5,1.8,18.5,6.7
geoId-NDH,31/12/2020,100.0,53.75,1.83,18.66,6.87
geoId-NDH,31/12/2021,100.0,53.75,1.83,18.66,6.87
geoId-NAN,31/12/2018,100.0,18.1,69.6,4.8,1.6
geoId-NAN,31/12/2020,100.0,17.72,71.56,4.96,1.63
geoId-NAN,31/12/2021,100.0,17.72,71.56,4.96,1.63
geoId-NBH,31/12/2018,100.0,44.0,20.4,14.8,5.0
geoId-NBH,31/12/2020,100.0,42.48,20.27,15.1,5.04
geoId-NBH,31/12/2021,100.0,42.48,20.27,15.1,5.04
geoId-NTN,31/12/2018,100.0,24.6,59.2,6.5,1.5
geoId-NTN,31/12/2020,100.0,25.27,59.3,7.24,1.61
geoId-NTN,31/12/2021,100.0,25.27,59.3,7.24,1.61
geoId-PTO,31/12/2018,100.0,33.4,48.2,7.3,3.0
geoId-PTO,31/12/2020,100.0,33.42,47.41,7.76,3.17
geoId-PTO,31/12/2021,100.0,33.42,47.41,7.76,3.17
geoId-PYN,31/12/2018,100.0,31.0,50.9,6.0,1.1
geoId-PYN,31/12/2020,100.0,32.76,51.8,6.36,1.16
geoId-PYN,31/12/2021,100.0,32.76,51.8,6.36,1.16
geoId-QBH,31/12/2018,100.0,11.2,78.4,3.9,0.8
geoId-QBH,31/12/2020,100.0,11.46,78.69,4.02,0.86
geoId-QBH,31/12/2021,100.0,11.46,78.69,4.02,0.86
