Phân theo địa phương,Năm,Tổng diện tích,Đất sản xuất nông nghiệp,Đất lâm nghiệp,Đất chuyên dùng,Đất ở
geoId-AGG,31/12/2018,353.7,282.6,11.6,24.3,13.5
geoId-AGG,31/12/2020,353.7,279.2,11.6,25.2,14.0
geoId-AGG,31/12/2021,353.7,279.1,11.6,25.2,14.1
geoId-BR-VT,31/12/2018,198.1,104.9,33.9,33.2,7.3
geoId-BR-VT,31/12/2020,198.3,103.1,32.2,37.4,7.8
geoId-BR-VT,31/12/2021,198.3,103.1,32.2,37.2,7.9
geoId-BDG,31/12/2018,269.5,193.9,10.8,37.6,13.9
geoId-BDG,31/12/2020,269.5,191.4,10.7,43.5,14.9
geoId-BDG,31/12/2021,269.5,279.3,10.7,44.1,15.0
geoId-BPC,31/12/2018,687.7,445.3,172.7,46.4,6.7
geoId-BPC,31/12/2020,687.4,442.3,170.9,50.2,7.0
geoId-BPC,31/12/2021,687.4,279.3,171.3,50.6,7.4
geoId-BTN,31/12/2018,794.4,360.4,344.0,50.7,9.1
geoId-BTN,31/12/2020,794.3,356.9,341.0,58.1,10.3
geoId-BTN,31/12/2021,794.3,357.1,340.4,58.4,10.3
geoId-BDH,31/12/2018,606.6,136.7,370.1,35.5,9.5
geoId-BDH,31/12/2020,606.6,141.6,376.5,37.3,10.4
geoId-BDH,31/12/2021,606.6,141.1,376.4,37.9,10.5
geoId-BLU,31/12/2018,266.9,101.8,3.6,12.0,5.1
geoId-BLU,31/12/2020,266.8,100.9,3.8,17.4,5.1
geoId-BLU,31/12/2021,266.8,100.9,3.9,17.5,5.1
geoId-BGG,31/12/2018,389.6,147.5,145.7,48.4,18.6
geoId-BGG,31/12/2020,389.6,146.6,145.8,51.7,19.7
geoId-BGG,31/12/2021,389.6,146.0,145.7,52.2,20.0
geoId-BKN,31/12/2018,486.0,44.2,413.3,11.8,2.6
geoId-BKN,31/12/2020,486.0,44.4,413.5,12.4,2.7
geoId-BKN,31/12/2021,486.0,44.3,413.4,12.7,2.7
geoId-BNH,31/12/2018,82.3,42.5,0.6,17.7,10.7
geoId-BNH,31/12/2020,82.3,41.0,0.6,19.2,10.8
geoId-BNH,31/12/2021,82.3,40.7,0.6,19.3,11.0
geoId-SCC,31/12/2018,9565.3,2189.2,5748.7,567.2,190.6
geoId-SCC,31/12/2020,9584.8,2176.3,5979.0,598.6,198.2
geoId-SCC,31/12/2021,9584.8,2173.1,5974.3,602.7,199.5
geoId-BTE,31/12/2018,239.5,140.4,7.0,11.1,8.1
geoId-BTE,31/12/2020,238.0,135.5,7.2,11.5,9.1
geoId-BTE,31/12/2021,238.0,135.5,7.2,11.6,9.1
geoId-CBG,31/12/2018,670.0,109.2,509.2,17.0,5.6
geoId-CBG,31/12/2020,670.0,110.0,512.3,18.7,5.5
geoId-CBG,31/12/2021,670.0,110.0,512.3,18.6,5.5
geoId-CMU,31/12/2018,522.1,143.1,95.1,23.6,6.6
geoId-CMU,31/12/2020,527.5,139.3,143.7,19.0,6.7
geoId-CMU,31/12/2021,527.5,139.2,143.6,19.3,6.8
geoId-VNM,31/12/2018,33123.6,11498.5,14940.8,1893.2,721.7
geoId-VNM,31/12/2020,33134.4,11718.4,15404.9,2010.9,754.3
geoId-VNM,31/12/2021,33134.6,11620.5,15439.7,2024.7,759.5
geoId-CTO,31/12/2018,143.9,112.2,,11.9,8.3
geoId-CTO,31/12/2020,144.0,111.4,0.0,12.2,8.6
geoId-CTO,31/12/2021,144.0,111.4,,12.2,8.7
geoId-GLI,31/12/2018,1551.1,800.7,587.0,52.8,18.2
geoId-GLI,31/12/2020,1551.0,845.1,552.1,61.7,17.1
geoId-GLI,31/12/2021,1551.0,838.1,559.9,62.2,17.2
geoId-HBH,31/12/2018,459.1,88.4,296.1,31.1,14.0
geoId-HBH,31/12/2020,459.0,92.6,296.9,33.3,14.3
geoId-HBH,31/12/2021,459.0,92.4,296.5,33.8,14.3
geoId-HGG,31/12/2018,792.9,194.4,459.1,16.9,7.1
geoId-HGG,31/12/2020,792.8,201.2,470.9,22.5,7.8
geoId-HGG,31/12/2021,792.8,201.3,472.8,22.6,7.8
geoId-HNM,31/12/2018,86.2,41.7,5.2,19.5,6.4
geoId-HNM,31/12/2020,86.2,40.6,5.0,21.0,6.6
geoId-HNM,31/12/2021,86.2,40.3,5.0,21.3,6.7
geoId-HNI,31/12/2018,335.9,154.3,22.2,64.1,40.9
geoId-HNI,31/12/2020,336.0,156.0,20.3,67.9,39.8
geoId-HNI,31/12/2021,336.0,155.7,20.3,68.2,39.8
geoId-HTH,31/12/2018,599.0,151.0,324.9,42.5,12.3
geoId-HTH,31/12/2020,599.4,138.8,352.2,42.0,13.2
geoId-HTH,31/12/2021,599.4,138.6,352.1,42.1,13.4
geoId-HYN,31/12/2018,93.0,53.6,,17.7,9.7
geoId-HYN,31/12/2020,93.0,51.3,0.0,18.8,10.0
geoId-HYN,31/12/2021,93.0,50.7,,19.2,10.2
geoId-HDG,31/12/2018,166.8,85.7,9.3,31.5,16.8
geoId-HDG,31/12/2020,166.8,83.7,9.0,32.7,17.3
geoId-HDG,31/12/2021,166.8,83.3,9.0,33.0,17.4
geoId-HPG,31/12/2018,156.2,50.5,19.2,29.3,14.6
geoId-HPG,31/12/2020,152.7,48.8,18.3,33.1,15.4
geoId-HPG,31/12/2021,152.7,48.6,18.3,33.2,15.5
geoId-HGG,31/12/2018,162.2,135.8,4.3,11.3,4.5
geoId-HGG,31/12/2020,162.2,136.0,3.3,12.6,4.5
geoId-HGG,31/12/2021,162.2,136.0,3.3,12.6,4.5
geoId-KHA,31/12/2018,513.8,100.2,226.7,36.3,6.7
geoId-KHA,31/12/2020,520.0,99.0,277.1,39.3,7.6
geoId-KHA,31/12/2021,520.0,99.0,275.7,39.8,7.7
,31/12/2018,28.0,1.1,23.4,0.1,
,31/12/2020,1.3,,1.3,,
,31/12/2021,1.3,0.0,1.3,0.0,0.0
geoId-KGG,31/12/2018,634.9,463.0,71.1,29.8,13.8
geoId-KGG,31/12/2020,635.2,456.2,71.7,33.2,14.3
geoId-KGG,31/12/2021,635.3,456.2,71.7,33.2,14.3
geoId-KTM,31/12/2018,967.4,266.2,607.5,33.8,8.3
geoId-KTM,31/12/2020,967.7,298.8,602.0,37.4,8.7
geoId-KTM,31/12/2021,967.7,298.0,602.5,37.7,8.8
geoId-LCU,31/12/2018,906.9,111.1,414.4,15.3,3.0
geoId-LCU,31/12/2020,906.9,115.9,517.9,8.8,3.9
geoId-LCU,31/12/2021,906.9,115.6,521.9,9.0,3.9
geoId-LAN,31/12/2018,449.5,317.3,29.1,39.4,26.9
geoId-LAN,31/12/2020,449.5,311.3,24.4,37.1,30.2
geoId-LAN,31/12/2021,449.5,311.1,24.4,37.2,30.4
geoId-LCI,31/12/2018,636.4,133.5,356.3,19.5,5.2
geoId-LCI,31/12/2020,636.4,137.5,384.1,21.5,6.0
geoId-LCI,31/12/2021,636.4,134.2,399.5,21.9,6.0
geoId-LDG,31/12/2018,978.3,367.4,539.6,28.4,12.6
geoId-LDG,31/12/2020,978.1,369.5,537.7,32.5,11.7
geoId-LDG,31/12/2021,978.1,369.0,537.7,32.7,12.0
geoId-LSN,31/12/2018,831.0,110.8,574.3,29.6,8.2
geoId-LSN,31/12/2020,831.0,114.8,603.0,29.6,9.2
geoId-LSN,31/12/2021,831.0,114.6,604.0,29.7,9.3
geoId-NDH,31/12/2018,166.9,90.9,3.0,30.8,11.2
geoId-NDH,31/12/2020,166.9,89.7,3.1,31.1,11.5
geoId-NDH,31/12/2021,166.9,89.3,3.1,31.4,11.5
geoId-NAN,31/12/2018,1648.1,298.7,1146.6,79.0,26.8
geoId-NAN,31/12/2020,1648.7,292.1,1179.8,81.8,26.9
geoId-NAN,31/12/2021,1648.6,291.5,1179.8,82.4,27.2
geoId-NBH,31/12/2018,138.7,61.0,28.3,20.5,6.9
geoId-NBH,31/12/2020,141.2,60.0,28.6,21.3,7.1
geoId-NBH,31/12/2021,141.2,60.2,29.0,21.0,7.1
geoId-NTN,31/12/2018,335.5,82.5,198.5,21.7,4.9
geoId-NTN,31/12/2020,335.5,84.8,199.0,24.3,5.4
geoId-NTN,31/12/2021,335.6,84.4,199.5,24.0,5.4
geoId-PTO,31/12/2018,353.5,118.2,170.4,25.9,10.6
geoId-PTO,31/12/2020,353.5,118.1,167.6,27.4,11.2
geoId-PTO,31/12/2021,353.5,118.0,167.5,27.7,11.3
geoId-PYN,31/12/2018,502.3,155.7,255.5,30.3,5.5
geoId-PYN,31/12/2020,502.6,164.6,260.4,32.0,5.8
geoId-PYN,31/12/2021,502.6,164.5,260.3,32.1,5.8
geoId-QBH,31/12/2018,800.0,89.8,626.8,31.3,6.4
geoId-QBH,31/12/2020,799.9,91.7,629.5,32.2,6.9
geoId-QBH,31/12/2021,799.9,91.6,629.0,32.6,7.0
geoId-QNM,31/12/2018,1057.5,219.5,667.4,43.9,20.5
geoId-QNM,31/12/2020,1057.5,193.1,750.2,45.0,21.6
geoId-QNM,31/12/2021,1057.5,192.9,748.1,45.1,21.6
geoId-QNI,31/12/2018,515.6,150.9,298.7,23.4,11.7
geoId-QNI,31/12/2020,515.5,170.8,283.0,25.9,12.0
geoId-QNI,31/12/2021,515.5,170.8,282.9,26.0,12.1
geoId-QNH,31/12/2018,617.8,60.8,373.7,45.5,8.2
geoId-QNH,31/12/2020,620.8,59.6,398.6,52.3,9.3
geoId-QNH,31/12/2021,620.8,59.2,398.4,52.7,9.3
geoId-QTI,31/12/2018,462.2,120.9,257.9,18.4,4.3
geoId-QTI,31/12/2020,470.1,122.4,288.9,20.1,4.6
geoId-QTI,31/12/2021,470.1,122.2,288.7,20.5,4.7
geoId-STG,31/12/2018,331.2,212.6,10.2,20.8,5.8
geoId-STG,31/12/2020,329.8,212.3,9.1,21.4,6.0
geoId-STG,31/12/2021,329.8,212.1,9.0,21.8,6.1
geoId-SLA,31/12/2018,1412.3,367.9,636.0,41.7,8.8
geoId-SLA,31/12/2020,1411.0,409.0,644.0,42.1,8.8
geoId-SLA,31/12/2021,1411.0,408.5,652.1,42.2,8.8
geoId-THA,31/12/2018,1111.5,247.5,645.3,77.1,55.8
geoId-THA,31/12/2020,1111.5,244.0,652.7,79.8,56.5
geoId-THA,31/12/2021,1111.5,243.1,652.6,80.5,56.7
geoId-TBH,31/12/2018,158.6,92.9,0.9,30.1,13.6
geoId-TBH,31/12/2020,158.5,91.7,0.7,30.6,13.9
geoId-TBH,31/12/2021,158.5,91.3,0.7,30.9,13.9
geoId-TNN,31/12/2018,352.7,112.1,186.7,21.7,12.3
geoId-TNN,31/12/2020,352.2,109.9,187.1,26.6,12.8
geoId-TNN,31/12/2021,352.2,109.8,187.0,26.9,12.9
geoId-TTH,31/12/2018,490.2,68.8,323.6,33.6,9.6
geoId-TTH,31/12/2020,494.7,68.3,326.1,36.6,9.9
geoId-TTH,31/12/2021,494.7,68.2,325.9,36.9,9.9
geoId-TGG,31/12/2018,251.1,179.3,3.0,14.3,10.0
geoId-TGG,31/12/2020,255.6,178.0,2.1,15.0,10.9
geoId-TGG,31/12/2021,255.6,177.9,2.0,15.1,10.9
geoId-HCM,31/12/2018,206.1,65.5,33.5,34.7,28.7
geoId-HCM,31/12/2020,209.5,64.2,35.5,35.0,29.3
geoId-HCM,31/12/2021,209.5,64.1,35.5,35.0,29.4
geoId-NT,31/12/2018,9520.0,2118.5,5435.3,331.1,112.7
geoId-NT,31/12/2020,9518.4,2292.4,5685.2,347.8,120.7
geoId-NT,31/12/2021,9518.4,2286.5,5714.6,350.9,121.5
geoId-TVH,31/12/2018,235.8,147.7,7.9,13.8,4.9
geoId-TVH,31/12/2020,239.1,141.4,6.9,14.5,6.0
geoId-TVH,31/12/2021,239.1,141.3,7.0,14.4,6.0
geoId-TQG,31/12/2018,586.8,94.8,441.5,23.4,6.1
geoId-TQG,31/12/2020,586.8,98.4,440.8,24.1,6.5
geoId-TQG,31/12/2021,586.8,98.2,440.7,24.3,6.6
geoId-TNN,31/12/2018,5450.8,2427.7,2482.3,196.6,59.7
geoId-TNN,31/12/2020,5454.8,2550.2,2435.7,217.8,59.2
geoId-TNN,31/12/2021,5454.8,2542.7,2445.3,219.2,59.8
geoId-TNH,31/12/2018,404.1,270.2,71.9,25.1,9.2
geoId-TNH,31/12/2020,404.2,265.8,72.4,27.7,10.2
geoId-TNH,31/12/2021,404.2,265.5,72.5,27.7,10.4
geoId-VLG,31/12/2018,152.6,119.6,,10.2,6.1
geoId-VLG,31/12/2020,152.6,118.8,0.0,11.1,6.5
geoId-VLG,31/12/2021,152.6,118.7,,11.1,6.5
geoId-VPC,31/12/2018,123.6,55.9,32.0,17.6,7.9
geoId-VPC,31/12/2020,123.6,54.2,31.6,18.8,8.4
geoId-VPC,31/12/2021,123.6,54.0,31.6,19.0,8.4
geoId-YBI,31/12/2018,688.7,120.1,464.7,17.8,5.6
geoId-YBI,31/12/2020,689.3,121.6,492.8,18.4,6.7
geoId-YBI,31/12/2021,689.3,121.5,492.8,18.6,6.7
geoId-DBN,31/12/2018,954.1,366.3,367.6,11.0,5.0
