Phân theo địa phương,Năm,Thành phố trực thuộc tỉnh,Quận,Thị xã,Huyện,Phường,Thị trấn,Xã
geoId-AGG,2009,1.00,,2.00,8.0,20.00,16.0,120.00
geoId-AGG,2010,1.00,,2.00,8.0,20.00,16.0,120.00
geoId-AGG,2011,1.00,,2.00,8.0,20.00,16.0,120.00
geoId-AGG,2012,1.00,,2.00,8.0,20.00,16.0,120.00
geoId-AGG,2013,2.00,,1.00,8.0,21.00,16.0,119.00
geoId-AGG,2014,2.00,,1.00,8.0,21.00,16.0,119.00
geoId-AGG,2015,2.00,,1.00,8.0,21.00,16.0,119.00
geoId-AGG,2016,2.00,,1.00,8.0,21.00,16.0,119.00
geoId-AGG,2017,2.00,,1.00,8.0,21.00,16.0,119.00
geoId-AGG,2018,2.00,,1.00,8.0,21.00,16.0,119.00
geoId-AGG,2019,2.00,,1.00,8.0,21.00,16.0,119.00
geoId-AGG,2020,2.00,,1.00,8.0,21.00,16.0,119.00
geoId-AGG,2021,2.00,,1.00,8.0,21.00,19.0,116.00
geoId-BR-VT,2009,1.00,,1.00,6.0,24.00,7.0,51.00
geoId-BR-VT,2010,1.00,,1.00,6.0,24.00,7.0,51.00
geoId-BR-VT,2011,1.00,,1.00,6.0,24.00,7.0,51.00
geoId-BR-VT,2012,2.00,,,6.0,24.00,7.0,51.00
geoId-BR-VT,2013,2.00,,,6.0,24.00,7.0,51.00
geoId-BR-VT,2014,2.00,,,6.0,24.00,7.0,51.00
geoId-BR-VT,2015,2.00,,,6.0,24.00,7.0,51.00
geoId-BR-VT,2016,2.00,,,6.0,24.00,7.0,51.00
geoId-BR-VT,2017,2.00,,,6.0,24.00,7.0,51.00
geoId-BR-VT,2018,2.00,,1.00,5.0,29.00,6.0,47.00
geoId-BR-VT,2019,2.00,,1.00,5.0,29.00,6.0,47.00
geoId-BR-VT,2020,2.00,,1.00,5.0,29.00,6.0,47.00
geoId-BR-VT,2021,2.00,,1.00,5.0,29.00,6.0,47.00
geoId-BDG,2009,,,1.00,6.0,11.00,9.0,71.00
geoId-BDG,2010,,,1.00,6.0,11.00,9.0,71.00
geoId-BDG,2011,,,3.00,4.0,25.00,6.0,60.00
geoId-BDG,2012,1.00,,2.00,4.0,25.00,6.0,60.00
geoId-BDG,2013,1.00,,4.00,4.0,41.00,2.0,48.00
geoId-BDG,2014,1.00,,4.00,4.0,41.00,2.0,48.00
geoId-BDG,2015,1.00,,4.00,4.0,41.00,2.0,48.00
geoId-BDG,2016,1.00,,4.00,4.0,41.00,2.0,48.00
geoId-BDG,2017,1.00,,4.00,4.0,41.00,2.0,48.00
geoId-BDG,2018,1.00,,4.00,4.0,41.00,4.0,46.00
geoId-BDG,2019,1.00,,4.00,4.0,41.00,4.0,46.00
geoId-BDG,2020,3.00,,2.00,4.0,45.00,4.0,42.00
geoId-BDG,2021,3.00,,2.00,4.0,45.00,5.0,41.00
geoId-BPC,2009,,,3.00,7.0,14.00,5.0,92.00
geoId-BPC,2010,,,3.00,7.0,14.00,5.0,92.00
geoId-BPC,2011,,,3.00,7.0,14.00,5.0,92.00
geoId-BPC,2012,,,3.00,7.0,14.00,5.0,92.00
geoId-BPC,2013,,,3.00,7.0,14.00,5.0,92.00
geoId-BPC,2014,,,3.00,7.0,14.00,5.0,92.00
geoId-BPC,2015,,,3.00,8.0,14.00,5.0,92.00
geoId-BPC,2016,,,3.00,8.0,14.00,5.0,92.00
geoId-BPC,2017,,,3.00,8.0,14.00,5.0,92.00
geoId-BPC,2018,1.00,,2.00,8.0,15.00,6.0,90.00
geoId-BPC,2019,1.00,,2.00,8.0,15.00,6.0,90.00
geoId-BPC,2020,1.00,,2.00,8.0,15.00,6.0,90.00
geoId-BPC,2021,1.00,,2.00,8.0,15.00,6.0,90.00
geoId-BTN,2009,1.00,,1.00,8.0,19.00,12.0,96.00
geoId-BTN,2010,1.00,,1.00,8.0,19.00,12.0,96.00
geoId-BTN,2011,1.00,,1.00,8.0,19.00,12.0,96.00
geoId-BTN,2012,1.00,,1.00,8.0,19.00,12.0,96.00
geoId-BTN,2013,1.00,,1.00,8.0,19.00,12.0,96.00
geoId-BTN,2014,1.00,,1.00,8.0,19.00,12.0,96.00
geoId-BTN,2015,1.00,,1.00,8.0,19.00,12.0,96.00
geoId-BTN,2016,1.00,,1.00,8.0,19.00,12.0,96.00
geoId-BTN,2017,1.00,,1.00,8.0,19.00,12.0,96.00
geoId-BTN,2018,1.00,,1.00,8.0,19.00,12.0,96.00
geoId-BTN,2019,1.00,,1.00,8.0,19.00,12.0,96.00
geoId-BTN,2020,1.00,,1.00,8.0,19.00,12.0,93.00
geoId-BTN,2021,1.00,,1.00,8.0,19.00,12.0,93.00
geoId-BDH,2009,1.00,,,10.0,16.00,14.0,129.00
geoId-BDH,2010,1.00,,,10.0,16.00,14.0,129.00
geoId-BDH,2011,1.00,,1.00,9.0,21.00,12.0,126.00
geoId-BDH,2012,1.00,,1.00,9.0,21.00,12.0,126.00
geoId-BDH,2013,1.00,,1.00,9.0,21.00,12.0,126.00
geoId-BDH,2014,1.00,,1.00,9.0,21.00,12.0,126.00
geoId-BDH,2015,1.00,,1.00,9.0,21.00,12.0,126.00
geoId-BDH,2016,1.00,,1.00,9.0,21.00,12.0,126.00
geoId-BDH,2017,1.00,,1.00,9.0,21.00,12.0,126.00
geoId-BDH,2018,1.00,,1.00,9.0,21.00,12.0,126.00
geoId-BDH,2019,1.00,,1.00,9.0,21.00,12.0,126.00
geoId-BDH,2020,1.00,,2.00,8.0,32.00,10.0,117.00
geoId-BDH,2021,1.00,,2.00,8.0,32.00,11.0,116.00
geoId-BLU,2009,,,1.00,6.0,7.00,7.0,50.00
geoId-BLU,2010,1.00,,,6.0,7.00,7.0,50.00
geoId-BLU,2011,1.00,,,6.0,7.00,7.0,50.00
geoId-BLU,2012,1.00,,,6.0,7.00,7.0,50.00
geoId-BLU,2013,1.00,,,6.0,7.00,7.0,50.00
geoId-BLU,2014,1.00,,,6.0,7.00,7.0,50.00
geoId-BLU,2015,1.00,,1.00,5.0,10.00,5.0,49.00
geoId-BLU,2016,1.00,,1.00,5.0,10.00,5.0,49.00
geoId-BLU,2017,1.00,,1.00,5.0,10.00,5.0,49.00
geoId-BLU,2018,1.00,,1.00,5.0,10.00,5.0,49.00
geoId-BLU,2019,1.00,,1.00,5.0,10.00,5.0,49.00
geoId-BLU,2020,1.00,,1.00,5.0,10.00,5.0,49.00
geoId-BLU,2021,1.00,,1.00,5.0,10.00,5.0,49.00
geoId-BGG,2009,1.00,,,9.0,7.00,16.0,207.00
geoId-BGG,2010,1.00,,,9.0,7.00,16.0,207.00
geoId-BGG,2011,1.00,,1.00,7.0,7.00,16.0,207.00
geoId-BGG,2012,1.00,,,9.0,7.00,16.0,207.00
geoId-BGG,2013,1.00,,,9.0,10.00,16.0,204.00
geoId-BGG,2014,1.00,,,9.0,10.00,16.0,204.00
geoId-BGG,2015,1.00,,,9.0,10.00,16.0,204.00
geoId-BGG,2016,1.00,,,9.0,10.00,16.0,204.00
geoId-BGG,2017,1.00,,,9.0,10.00,16.0,204.00
geoId-BGG,2018,1.00,,,9.0,10.00,16.0,204.00
geoId-BGG,2019,1.00,,,9.0,10.00,16.0,204.00
geoId-BGG,2020,1.00,,,9.0,10.00,15.0,184.00
geoId-BGG,2021,1.00,,,9.0,10.00,15.0,184.00
geoId-BKN,2009,,,1.00,7.0,4.00,6.0,112.00
geoId-BKN,2010,,,1.00,7.0,4.00,6.0,112.00
geoId-BKN,2011,,,1.00,7.0,4.00,6.0,112.00
geoId-BKN,2012,,,1.00,7.0,4.00,6.0,112.00
geoId-BKN,2013,,,1.00,7.0,4.00,6.0,112.00
geoId-BKN,2014,,,1.00,7.0,4.00,6.0,112.00
geoId-BKN,2015,1.00,,,7.0,6.00,6.0,110.00
geoId-BKN,2016,1.00,,,7.0,6.00,6.0,110.00
geoId-BKN,2017,1.00,,,7.0,6.00,6.0,110.00
geoId-BKN,2018,1.00,,,7.0,6.00,6.0,110.00
geoId-BKN,2019,1.00,,,7.0,6.00,6.0,110.00
geoId-BKN,2020,1.00,,,7.0,6.00,6.0,96.00
geoId-BKN,2021,1.00,,,7.0,6.00,6.0,96.00
geoId-BNH,2009,1.00,,1.00,6.0,17.00,6.0,103.00
geoId-BNH,2010,1.00,,1.00,6.0,20.00,6.0,100.00
geoId-BNH,2011,1.00,,1.00,6.0,20.00,6.0,100.00
geoId-BNH,2012,1.00,,1.00,6.0,20.00,6.0,100.00
geoId-BNH,2013,1.00,,1.00,6.0,23.00,6.0,97.00
geoId-BNH,2014,1.00,,1.00,6.0,23.00,6.0,97.00
geoId-BNH,2015,1.00,,1.00,6.0,23.00,6.0,97.00
geoId-BNH,2016,1.00,,1.00,6.0,23.00,6.0,97.00
geoId-BNH,2017,1.00,,1.00,6.0,23.00,6.0,97.00
geoId-BNH,2018,1.00,,1.00,6.0,23.00,6.0,97.00
geoId-BNH,2019,1.00,,1.00,6.0,26.00,6.0,94.00
geoId-BNH,2020,1.00,,1.00,6.0,26.00,6.0,94.00
geoId-BNH,2021,2.00,,,6.0,31.00,6.0,89.00
geoId-SCC,2009,14.00,6.0,9.00,142.0,274.00,151.0,2489.00
geoId-SCC,2010,15.00,6.0,10.00,140.0,291.00,149.0,2474.00
geoId-SCC,2011,15.00,6.0,12.00,138.0,303.00,148.0,2467.00
geoId-SCC,2012,15.00,6.0,12.00,138.0,305.00,146.0,2467.00
geoId-SCC,2013,15.00,6.0,14.00,138.0,323.00,146.0,2449.00
geoId-SCC,2014,15.00,6.0,14.00,138.0,323.00,146.0,2449.00
geoId-SCC,2015,15.00,6.0,16.00,137.0,336.00,144.0,2436.00
geoId-SCC,2016,15.00,6.0,16.00,137.0,336.00,144.0,2436.00
geoId-SCC,2017,16.00,6.0,15.00,137.0,340.00,144.0,2432.00
geoId-SCC,2018,16.00,6.0,15.00,137.0,340.00,145.0,2431.00
geoId-SCC,2019,16.00,6.0,15.00,137.0,340.00,146.0,2354.00
geoId-SCC,2020,16.00,6.0,19.00,132.0,379.00,143.0,2201.00
geoId-SCC,2021,16.00,6.0,19.00,132.0,389.00,145.0,2185.00
geoId-BTE,2009,1.00,,,8.0,10.00,7.0,147.00
geoId-BTE,2010,1.00,,,8.0,10.00,7.0,147.00
geoId-BTE,2011,1.00,,,8.0,10.00,7.0,147.00
geoId-BTE,2012,1.00,,,8.0,10.00,7.0,147.00
geoId-BTE,2013,1.00,,,8.0,10.00,7.0,147.00
geoId-BTE,2014,1.00,,,8.0,10.00,7.0,147.00
geoId-BTE,2015,1.00,,,8.0,10.00,7.0,147.00
geoId-BTE,2016,1.00,,,8.0,10.00,7.0,147.00
geoId-BTE,2017,1.00,,,8.0,10.00,7.0,147.00
geoId-BTE,2018,1.00,,,8.0,10.00,7.0,147.00
geoId-BTE,2019,1.00,,,8.0,10.00,7.0,147.00
geoId-BTE,2020,1.00,,,8.0,8.00,7.0,142.00
geoId-BTE,2021,1.00,,,8.0,8.00,7.0,142.00
geoId-CBG,2009,,,1.00,12.0,4.00,14.0,181.00
geoId-CBG,2010,,,1.00,12.0,6.00,14.0,179.00
geoId-CBG,2011,,,1.00,12.0,6.00,14.0,179.00
geoId-CBG,2012,1.00,,,12.0,8.00,14.0,177.00
geoId-CBG,2013,1.00,,,12.0,8.00,14.0,177.00
geoId-CBG,2014,1.00,,,12.0,8.00,14.0,177.00
geoId-CBG,2015,1.00,,,12.0,8.00,14.0,177.00
geoId-CBG,2016,1.00,,,12.0,8.00,14.0,177.00
geoId-CBG,2017,1.00,,,12.0,8.00,14.0,177.00
geoId-CBG,2018,1.00,,,12.0,8.00,14.0,177.00
geoId-CBG,2019,1.00,,,12.0,8.00,14.0,177.00
geoId-CBG,2020,1.00,,,9.0,8.00,14.0,139.00
geoId-CBG,2021,1.00,,,9.0,8.00,14.0,139.00
geoId-CMU,2009,1.00,,,8.0,10.00,9.0,82.00
geoId-CMU,2010,1.00,,,8.0,10.00,9.0,82.00
geoId-CMU,2011,1.00,,,8.0,10.00,9.0,82.00
geoId-CMU,2012,1.00,,,8.0,10.00,9.0,82.00
geoId-CMU,2013,1.00,,,8.0,10.00,9.0,82.00
geoId-CMU,2014,1.00,,,8.0,10.00,9.0,82.00
geoId-CMU,2015,1.00,,,8.0,10.00,9.0,82.00
geoId-CMU,2016,1.00,,,8.0,10.00,9.0,82.00
