"Tỉnh, thành phố",2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,1457.0,1409.0,1338.0,1602.2,1285.6,1430.8,1147.0,1278.7,1396.4,1570.7,1525.0,1344.0,1480.8,1366.3,1453.5,1472.9,1423.5
geoId-CMU,2175.0,1965.0,1939.0,1914.3,1914.3,1892.9,2071.9,1987.0,2195.8,2373.4,2104.6,1947.0,1963.7,2063.9,2083.8,1870.0,1780.6
,1899.0,1659.0,1546.0,1860.2,1973.8,1497.5,1865.9,1765.9,2025.1,2237.0,1754.2,1792.8,1953.7,2190.0,2120.5,2096.4,1810.3
,1363.0,1462.0,1234.0,1413.0,1256.0,1063.6,909.7,1227.8,1168.0,1322.0,1339.8,1075.2,1274.2,1325.0,1319.5,1415.4,1308.2
geoId-LCU,1884.0,1600.0,1645.0,2049.9,1913.8,1664.1,1846.5,1964.8,1951.0,2023.6,1996.2,1699.1,1845.0,2375.6,1863.3,1842.5,1821.8
geoId-NDH,1418.0,1396.0,1215.0,1454.3,1305.0,1164.6,1153.4,1219.6,1258.0,1519.4,1351.0,1158.1,1431.7,1537.2,1492.7,1524.5,1363.8
,2712.0,2502.0,2407.0,2493.1,2527.3,2374.3,2688.1,2498.0,2705.8,2638.0,2511.2,2342.1,2502.3,2731.4,2582.5,2380.3,2250.5
,2455.0,2248.0,2349.0,2329.6,2323.6,2214.9,2469.8,2310.2,2548.7,2756.7,2426.4,2285.6,2310.5,2525.8,2518.4,2469.9,2345.0
,2401.0,2411.0,2289.0,2426.0,2528.6,2178.7,2567.5,2340.9,2638.1,2857.7,2509.5,2345.5,2445.2,2767.2,2610.6,2430.5,2427.5
geoId-SLA,2063.0,2083.0,1831.0,2208.1,2163.2,1782.8,2068.3,2026.5,2155.1,2251.9,2261.5,1926.5,2020.5,2390.0,2226.2,2133.5,1961.6
geoId-TQG,1421.0,1472.0,1358.0,1578.0,1578.0,1389.6,1372.5,1571.5,1458.3,1684.4,1772.0,1448.3,1497.5,1577.8,1503.6,1609.9,1490.7
,1558.0,1564.0,1314.0,1523.8,1484.0,1188.2,1460.6,1372.9,1502.4,1750.8,1536.5,1408.8,1665.2,1844.6,1694.9,1750.9,1535.6
,2613.0,2349.0,2509.0,2575.9,2575.9,2435.3,2661.5,2328.3,2693.8,2937.8,2690.3,2582.5,2593.9,2814.0,2683.5,2657.6,2617.7
,2213.0,1950.0,1920.0,2029.1,2029.1,1912.8,2111.4,2019.9,2117.9,2261.9,2103.2,1924.2,2048.0,2314.0,2094.3,2013.0,1866.2
geoId-DNG,2193.0,2002.0,1860.0,2112.8,1434.0,1781.6,2101.3,1975.5,2208.6,2432.5,2125.3,2046.6,2063.2,2318.4,2219.2,2247.5,2042.8
